doc_id,source,document,LLM_q,doc_prompt
economics_1.json,https://mises.org/mises-wire/trump-campaign-tries-buy-votes-subsidizing-ivf,"The Trump Campaign Tries to Buy Votes by Subsidizing IVF With Democrat presidential candidate Kamala Harris proposing costly new interventionist schemes and co-opting Republican talking points in order to neutralize the unpopularity of rising prices among swing voters, her Republican opponent, Donald Trump, has responded by stealing a page from the Democrat state-building playbook. He has raised the bidding for votes with a preposterous new interventionist proposal of his own—a plan to boost fertility rates by turning in vitro fertilization (IVF) treatments into a free service, to be paid for by a combination of government subsidies and mandates on health insurers. Traditionally, advocacy of IVF subsidies has been a staple of the same groups on the “progressive” side of the culture wars that have championed government-subsidized abortions on demand, like the Center for Reproductive Rights. According to data from the American Society for Reproductive Medicine, representing over 95 percent of IVF clinics in America, 390,000 IVF cycles were performed in 2022, which led to 91,771 births. The current cost of IVF and related procedures ranges from $15,000 to $30,000 per IVF cycle, making total current expenditures on the order of $8 billion per year. Murray Rothbard’s theoretical analysis of the economics of “free” services and the incidence of government-imposed extortion implies that the costs of providing IVF treatments for “free” could be far, far higher. There are estimates that only a quarter of those who desire IVF treatments can actually afford them at current prices, so artificially reducing the price paid by patients to zero might mean at least a four-fold increase in the number of IVF cycles administered. It might even mean more if clinics (which would also have no incentive to control costs) encourage a greater number of cycles per patient to increase the chances of achieving a successful pregnancy.",gpt-4o-mini,dt03
economics_2.json,https://mises.org/power-market/three-contradictions-krugmans-take-rate-cuts,"Three Contradictions in Krugman’s Take on the Rate Cuts Paul Krugman’s latest column is all over the place. He was trying to provide commentary on the Fed’s half-point cut in the Federal Funds Rate, but he was juggling too many contradictory narratives. The contradictions start at the beginning. The Fed’s decision “was of minimal importance” but also a “momentous move.” It wasn’t important because it just a small change in the overnight interbank interest rate. It was very important because of its effect on other interest rates and because the Fed has “declared its belief that the war on inflation has been won.” Maybe Krugman was going for the antithesis literary device, like Neil Armstrong’s “small step for man, giant leap for mankind.” Maybe he wanted to downplay any immediate suspicions that such a large cut a few weeks before the presidential election would be politically motivated. The other set of contradictory narratives is that the economy is great and yet the economy is so weak that it needs a “jumbo” rate cut. Or, as Tho Bishop put it, we have “An Economy So Strong It Requires Crisis-Level Fed Action.”

Krugman has been writing out-of-touch articles for years now about how great the Biden economy is. He loves to point out that many economists thought that unemployment would rise when the Fed starting hiking rates in 2022 (even though he also said the rate hikes would cause a recession). But he also needs some sort of backing for his absurd recommendation, given the day before the FOMC decision was announced, that they should cut by up to 3 percentage points, six times the size of their “jumbo” half-point cut.",gpt-4o-mini,dt03
economics_3.json,https://mises.org/friday-philosophy/explaining-imperialism,"Explaining Imperialism Imperialism and Social Classes

by Joseph Schumpeter; Meridian, 1951 x + 181 pp. Joseph Schumpeter, a contemporary and sometimes rival of Ludwig von Mises, agrees with Mises that capitalism leads to peace, not territorial expansion. The Marxist claim that imperialism is the highest stage of capitalism is thus mistaken. In “The Sociology of Imperialism” (1919), the first of the two essays included in this English translation, Schumpeter offers his own account of imperialism. He views imperialism during the capitalist era as a “social atavism” from earlier stages of history. His account has much to be said for it, but it is so restrictive in what counts as “imperialism” that it explains very little of the territorial expansion that took place in the period since capitalism came on the scene. In what follows, I’ll try to explain Schumpeter’s views, but the task is not altogether easy. Sometimes Schumpeter writes with great force, but often he includes so many qualifying comments and asides that the main line of his argument is difficult to discern. Schumpeter rightly notes that, in a world of complete free trade, there is no economic reason for control of foreign territories:

It may be stated as being beyond controversy that where free trade prevails no state is interested in forcible expansion as such. . .In a genuine state of free trade, foreign raw materials and foodstuffs are accessible to each nation, as though they were within its own territory. It might be objected that this is irrelevant to explaining imperialism in the nineteenth and early twentieth centuries, because this was not a world of free trade, but Schumpeter responds that it remains true there was no general gain to the citizens of a particular nation through protective tariffs.",gpt-4o-mini,dt03
economics_4.json,https://mises.org/mises-wire/gradual-leftward-shift-us-politics-and-economy,"The Gradual Leftward Shift in US Politics and Economy The American political landscape is often perceived as sharply divided between left and right, with the Democratic Party representing the left and the Republican Party, by default, occupying the right. However, a deeper analysis of the policies and rhetoric of current presidential and vice-presidential candidates reveals a more complex reality. Using a framework of political analysis that considers attitudes towards private property rights, collectivization of consciousness, and wealth redistribution, it becomes evident that the United States is experiencing a gradual—but steady—shift towards the left. The Democratic Party: A Firm Commitment to Evolutionary Socialism

The Democratic Party, represented by Kamala Harris and Tim Walz, has openly embraced left-wing policies. Their platform reflects a strong commitment to government intervention in the economy, the promotion of collective societal goals, and a clear agenda for wealth redistribution. Private Property Rights and Wealth Redistribution

The Democratic platform advocates for significant regulation of private enterprises, particularly in sectors like healthcare, energy, and technology. However, these regulations lead to the violation of private property rights and free exchange, especially through the implementation of mandatory wealth redistribution policies at the state level. In essence, involuntary wealth redistribution acts as a subtle and gradual assault on private property rights. Under Harris and Walz, the Democrats strongly support wealth redistribution through progressive taxation, expanded social programs, and a higher minimum wage. Walz’s governance of Minnesota serves as a striking example of aggressive wealth redistribution, reminiscent of the policies of ardent socialists from the past. Currently, Minnesota has the most progressive tax policies in the US. Walz introduced a new global tax on multinational companies, imposed a 1% surtax on investment income over $1 million annually, and raised gas taxes.",gpt-4o-mini,dt03
economics_5.json,https://mises.org/mises-wire/yes-we-should-defend-term-capitalism,"Yes, We Should Defend the Term “Capitalism” Perhaps nothing is so vilified as “capitalism” in the modern world. According to a study by North Dakota State University, only a quarter of college students have a positive view of capitalism. Bernie Sanders was wildly popular in 2016, nearly dethroning the neoliberal Hillary Clinton, in part because of his disdain for “millionaires and billionaires” and “capitalism” in favor of socialism (though his views of “millionaires” changed once he became one!). As a sad response, proponents of free markets have fled from the term “capitalism” in favor of lukewarm terms like “market processes.”

Many may point to the popular coining of the term by French socialist Louis Blanc or Pierre-Joseph Proudhon as an example. Their argument has been that “capitalism is a term invented by our enemies and so we shouldn’t play into their paradigm.” But Mises, and the insights of the Austrian school, provide a picture why the term should be embraced rather than shunned or apologized for. Let’s start with what Mises himself says about the term “capitalism” in Human Action:

The system of free enterprise has been dubbed capitalism in order to deprecate and to smear it. However, this term can be considered very pertinent. It refers to the most characteristic feature of the system, its main eminence, viz. the role the notion of capital plays in its conduct. (emphasis added)

It appears that Mises is favorable towards the term. In fact, a simple CTRL+F search through Human Action shows that the term is used 213 times, including sections specifically defending the system.",gpt-4o-mini,dt03
economics_6.json,https://mises.org/mises-wire/denarius-and-dollar-price-controls-then-and-now,"The Denarius and the Dollar: Price Controls Then and Now Since the response to Covid-19, the preeminent economic concern of the American public has been, simply put, price inflation. In an attempt to curry favor with the electorate, Vice President Kamala Harris recently declared support for price controls to combat high prices, which she attributes to supply chain issues and corporate greed. Today, it often seems that our country’s scope and knowledge of history is reduced to a few platitudes concerning markets that date back no further than the mid-1930’s, or perhaps the 1920’s. Inflation and currency debasement, however, go much further back. Furthermore, they are often accompanied by attempts to correct them with price controls. This has especially been the case with empires. In the past year, there was a meme of sorts, where women would be perplexed to find out just how often their husbands, when asked, reflected on the Roman Empire during the course of a week. The men might even mention the Colosseum, the aqueducts, or Caesar’s conquest of Gaul to state what in particular they thought about when thinking upon Rome. If we want to learn about currency debasement and price controls, I am of the opinion that we should be looking to the Third-Century Crisis. The Crisis of the Third Century was an approximately 50-year period during the Roman Empire, which lasted from 235-284 AD. Among the many problems that Rome would face during this period was a currency debasement. This devaluation of their currency was achieved through reducing the amount of silver in the Roman denarius. The Romans spent more than they could afford, as is often the case of empires.",gpt-4o-mini,dt03
economics_7.json,https://mises.org/mises-wire/fed-hits-panic-button-and-slashes-fed-funds-rate,"The Fed Hits the Panic Button and Slashes the Fed Funds Rate The Federal Reserve’s FOMC slashed the target federal funds rate at its meeting this month, reducing the target rate by 50 basis points from 5.5 percent to 5.0 percent. This was the largest cut to the target rate since March of 2020 in the midst of the Covid Panic. This cut comes after fourteen months of the FOMC holding the target rate at 5.5 percent. In late 2022, the FOMC was forced to allow interest rates to rise in response to mounting price inflation which hit a year-over-year growth rate of 8.9 percent in June 2022. Since the official CPI inflation rate fell back below five percent in Spring of 2023, however, there has been continuing speculation about a “Fed pivot” in which the Fed will once again begin a cycle of cuts to the target interest rate. This pivot finally came today, and more cuts are expected. According to the FOMC’s Summary of Economic Projections, most FOMC members report they believe the “appropriate target level” for the Federal funds rate will come in below 5.0 percent for 2024. This strongly suggests we should expect more rate cuts by the end of the year. This is all a clear signal that the Fed and FOMC believe the economic situation is worsening. For political reasons, however, Fed Chairman Jerome Powell continues to insist that this month’s big cut to the target rate is definitely, totally not in reaction to worsening economic data. During the post-FOMC press conference today, Fed Chaiman Jerome Powell repeatedly tried to take an upbeat tone about the state of the US economy explicitly stating—in his own words—”the US economy is in great shape” and “the labor market is in solid condition.”

Yet, if one looks closely, one will not find a case of the FOMC slashing the target interest rate by 50 basis points when the economy “is in great shape.” On the contrary, a 50 bps (or larger) cut to the target rate tends to come just a few months before recession and a rising unemployment rate.",gpt-4o-mini,dt03
economics_8.json,https://mises.org/mises-wire/economy-so-strong-it-requires-crisis-level-fed-action,"An Economy So Strong It Requires Crisis-Level Fed Action In the last few months, the Federal Reserve has signaled that it is prepared to cut interest rates. Today’s 50bps rate cut, however, exceeded most expectations. As ZeroHedge has noted, “only 9 of 113 economists surveyed” expected this sort of move, and the Fed’s own dot plot shows a growing appetite for more aggressive action in the near future. Amazing what an 818K downward jobs revision that “nobody could have seen coming because the Biden economy was so strong” will do... pic.twitter.com/xvTwmE4eUJ — zerohedge (@zerohedge) September 18, 2024

The Fed’s actions are best understood as acknowledging the obvious: the regime has been gaslighting the public about the economy. Despite the constant assistance from the Biden-Harris Administration and their reliable allies in the media that the economy is strong, today’s Fed action was a crisis-level response. What changed? The job market is an obvious one. Once the go-to argument for the strength of the American economy, official numbers show there are now fewer full-time jobs in America than there were a year ago. This follows significant revisions to jobs reports that overstated almost a million jobs. Of course, at the same time the Fed still continues to battle inflation that is well beyond its 2 percent target, with assets like housing, food prices, and stocks still at significant highs. Have no fear, though; Chairman Jerome Powell assured the American economy is still “strong overall.” To further this point, the Fed pushed its go-to propaganda, with a variety of forecasts predicting that inflation will continue to go down, unemployment will continue to fall, and that all will be down.",gpt-4o-mini,dt03
economics_9.json,https://mises.org/mises-wire/understanding-basics-modern-banking,"Understanding the Basics of Modern Banking The monetary and banking system plays an incredibly important role in contemporary economies. Knowledge of how this system functions should therefore be spread as widely as possible, yet the education system barely instructs its students about this subject, if indeed it instructs them about it at all. This article aims to contribute to bridging this gap by giving a basic overview of how the system of money creation and banking works today. The reader may also be interested in studying the discussion of alternative systems, however, this article will focus only on describing the dominant system of the present. Open Market Operations and Fractional-Reserve Banking (FRB)

The central bank has a monopoly of issuing notes, that is, physical currency. The difference between the face value of the currency created and the cost to produce it is called seigniorage, and it gives a profit to the monetary sovereign, in this case the central bank. The notes of contemporary central banks aren’t redeemable in anything but themselves; they are created out of nothing by the fiat, or order, of the central bank itself. It is likely that physical currency produced by central banks will be partially replaced by central bank digital currencies (CBDCs) in the near future. These will perform many of the same functions as physical currency, and preserve features like seigniorage. Central banks are able to purchase assets from actors in the economy. They do this by writing a “check,” or demand deposit on themselves. These check are created out of nothing by fiat of the central bank, and are only redeemable in central bank notes. When the central bank purchases assets from regular banks using these checks (which are now electronic), the banks keep this money in reserve at their own accounts that they hold with the central bank.",gpt-4o-mini,dt03
economics_10.json,https://mises.org/power-market/can-you-understand-feds-nearly-200-billion-losses,"Can You Understand the Fed’s Nearly $200 Billion in Losses? Can you understand how it can be that the Federal Reserve, the world’s greatest and by far most important central bank, has now lost the astounding sum of $193 billion? If not, you are surely not alone. Since September 2022, the Fed has lost money every month. These unprecedented losses continue, and this fall they will in the aggregate pass $200 billion. The Fed has a powerful mystique, which it works hard at cultivating. It intensely wants to be credible—that is, for you to believe in it (“credo” = I believe), and perhaps you do. The people’s belief is an important source of the Fed’s power, and its power is a key source of the government’s power. We can accurately say that the Fed prints power by printing money. The Fed does not want little things like $200 billion in losses to shake your belief—like the Wizard of Oz, it tells you, “Pay no attention to that man, or those losses, behind the curtain!” It puts its losses behind an accounting curtain that pretends that losses are an asset. These operating losses are not, as is sometimes mistakenly said, mere “paper” losses. They are real, cash losses. The Fed is suffering negative net interest income because its cost of funds is much greater than the income on its investments. The $193 billion in operating losses exceeds the Fed’s $43 billion in total capital by more than four times. Thus at present, it has no earnings, no retained earnings, and no capital.",gpt-4o-mini,dt03
