doc_id,source,document,LLM_q,doc_prompt
entertainment_1.json,https://www.tmz.com/2024/09/20/diddy-arrest-video-handcuffed-hotel-new-york/,"Diddy's Arrest Caught on Video, Marched Out of NYC Hotel in Handcuffs Play video content TMZ.com

Here's the moment Diddy's whole life changed ... TMZ has the first video of federal agents making their surprise arrest in an NYC hotel lobby -- potentially his final moment of freedom for at least the next decade. The video clearly shows Diddy, clad in a black trench coat, walking into the Park Hyatt New York hotel in midtown Manhattan with his crew of several men -- but the moment he enters the lobby, law enforcement pounces, stops the mogul and separates him from his friends. You can see from Diddy's team's reaction ... they're unsure of what's happening, walking around the hotel lobby in shock as the rapper's taken away. More on that later. Sometime later, Diddy reappears on camera, but now his hands are cuffed behind his back as the feds escort him through the hallway and walk him into an elevator. Next, they march him through the lobby and out the front door of the hotel in clear view of NYC pedestrians on the sidewalk. As for Diddy's shocked friends in the lobby ... well, they weren't alone in that feeling. Diddy himself was also totally surprised. Remember, he'd come to NYC in anticipation of the indictment ... and we know he was planning to surrender on Tuesday -- but, instead, the feds showed up Monday night to make this arrest. Video taken just moments before the arrest shows how great of a time the rapper was having in NYC -- interacting with several excited fans he ran into on the streets. Diddy's been charged with racketeering conspiracy, sex trafficking by force, fraud or coercion and transportation to engage in prostitution.",gpt-4o-mini,dt03
entertainment_2.json,https://www.tmz.com/2024/09/20/selena-gomez-responds-bipolar-fertility-negativity/,"Selena Gomez Tells Haters to 'F*** Off' After Revealing She Can't Carry Kids Got An Issue With Me Sharing I Can't Carry Kids?

Play video content

Selena Gomez’s keeping it raw and real, delivering a message to haters after opening up about her personal life -- not being able to carry children, being bipolar -- saying they can kindly ""f*** off.""

The actress got candid at the recent Women in Film event ... she wants to be a voice for women, because even though she's a celeb -- everyone's got their own struggles at the end of the day.

Selena Gomez with her sister Gracie at the Women in Film dinner in Beverly Hills, CA. ♥️ pic.twitter.com/gkpTdgk9BS — Selena Gomez News (@SGomezNewsCOMs) September 19, 2024 @SGomezNewsCOMs

She also spoke out about other tough parts of her life ... telling attendees there’s zero shame about having issues, and asking for help. ""There's power in being vulnerable.""

Selena urged everyone -- especially her lil sis Gracie sitting by her side -- not to ""ever let anyone tell you that you're not a good person.""

Play video content TMZ Studios

In a final mic-drop moment, Selena threw down with, ""Screw anyone who tells you you're a victim ... You're a survivor in my book.""",gpt-4o-mini,dt03
entertainment_3.json,https://www.tmz.com/2024/09/20/don-king-health-issues/,"Legendary Boxing Promoter Don King Battling Health Issues Legendary boxing promoter Don King was hospitalized with health issues recently ... spending more than a week receiving treatment a local facility, TMZ Sports has confirmed. Mike Tyson -- who worked with King for nearly two decades -- first revealed the development during an interview with Cam'ron and Mase on the ""It Is What It Is"" podcast this week ... when he was asked about his current relationship with his former promoter. ""You know, Don is not doing well right now,"" the 58-year-old boxer said on Friday. ""He's probably close to 100 years old, he's not doing well."" We reached out to our DK sources to get more information ... and we were told he isn't in the best of shape health-wise -- he had a 10-day stint in the hospital and received a blood transfusion. He is now at home recovering. Tyson and King, 93, had a falling out back in the day -- he sued King for $100 million in 1998, claiming he was cheated out of millions of dollars. The lawsuit was settled out of court for $14 million ... and Mike then cut ties with Don in the early 2000s. But on Friday, when reflecting on everything they went through ... Tyson said it was a valuable lesson. ""I believe Don King pretty much educated me,"" Tyson said of the money situation. ""That will never happen again."" ""It's an experience -- so that won't happen again. Now you go in life with an experience so that's not gonna happen again. Maybe something else but that's not gonna happen again.""",gpt-4o-mini,dt03
entertainment_4.json,https://www.tmz.com/2024/09/20/carly-gregg-teenage-mom-killer-guilty-murder/,"15-Year-Old Mom Killer Carly Gregg Sentenced to Life in Prison, No Possibility of Parole Update

12:07 PM PT -- The jury has just voted to sentence Carly Gregg to life imprisonment without the possibility of parole for the first-degree murder and attempted murder convictions and 10 years for evidence tampering. The judge says the sentences will run concurrently. Carly appeared much more composed during sentencing ... no tears streaming down her face -- remaining calm while the judge explained the appeal process. Play video content Court TV

A jury has handed down their verdict in the murder trial of Carly Gregg, the 15-year-old charged with fatally gunning down her mother with a .357 Magnum in March. The Mississippi teen was found guilty Friday of first-degree murder, attempted murder, and tampering with evidence. Play video content Court TV

As Gregg was being read her fate, she was visibly distraught ... tears welling up in her eyes while the jury filed in, looking crestfallen after she was convicted on all three of the charges against her, before breaking into sobs. Play video content

As we reported, home-security footage was shown during the week-long trial of Gregg appearing to follow her mother, Ashley Smylie, into their house ... gunshots are heard off-screen, before Gregg, who was 14 at the time, sits on a stool in the kitchen and browses Smylie's cell phone. Gregg then reportedly texted her stepfather, Heath, to lure him to the home. He was shot and wounded in the shoulder while struggling with Carly for the gun when he arrived at the house. Play video content TMZ Studios

The shocking video from the March 19 shooting of her mother was played Tuesday in a Rankin County courtroom during Gregg's murder trial, which has received national attention.",gpt-4o-mini,dt03
entertainment_5.json,https://www.tmz.com/2024/09/20/peppa-pig-star-david-graham-dead/,"'Peppa Pig' Star David Graham Dead at 99 Renowned voice actor David Graham, who is best known for voicing Grandpa Pig on the beloved children's series ""Peppa Pig,"" has died ... a former colleague confirmed.

The X account for Gerry Anderson, the creator of ""Thunderbirds"" -- in which Graham voiced various characters for the British science fiction series and its spinoffs -- broke the sad news to fans on Friday.

The message read ... ""We're incredibly sad to confirm the passing of the legendary David Graham. The voice [of] Parker, Gordon Tracy, Brains and so many more. David was always a wonderful friend to us here at Anderson Entertainment. We will miss you dearly, David. Our thoughts are with David's friends and family.""

The update did not note a cause of death for Graham. Gerry Anderson pre-deceased Graham in 2012, when he died at the age of 83 after a battle with dementia.

As for Graham, he was notably the only original ""Thunderbirds"" cast member to return for the 2015 reboot, titled ""Thunderbirds Are Go!""

In addition to his work on ""Peppa Pig"" and ""Thunderbirds,"" fans of ""Doctor Who"" will likely recognize Graham's iconic sound ... as he voiced the villainous Daleks on the long-running sci-fi series.

He was 99 years old.",gpt-4o-mini,dt03
entertainment_6.json,https://www.tmz.com/2024/09/20/tekashi-6ix9ine-girlfriend-revenge-porn-lawsuit/,"Tekashi 6ix9ine's Ex-GF Hits Him With Revenge Porn Lawsuit Tekashi 6ix9ine has been slapped with a lawsuit from his ex-girlfriend, who claims the rapper subjected her to a long history of physical, sexual, emotional, and financial abuse ... and says when she broke up with him, he retaliated by posting explicit videos of her on social media. TMZ has obtained the court docs ... in which reggaeton singer Jorgina Lulu Guillermo Diaz, professionally known as Yailin La Más Viral, alleges the rapper drugged her, abused her, and stole hundreds of thousands of dollars from her to fund his own luxury expenses. Yailin also alleges Tekashi -- real name Daniel Hernandez -- manipulated, shamed, and coerced her to undergo unnecessary plastic surgery and other cosmetic procedures. She claims he exerted psychological, emotional, and industry-access power and control over her, keeping her in a drugged state to deprive her of independence and cause fear. She says she ended their relationship in August 2024 after learning about his alleged theft and fraud -- and claims as his final act of retaliation, he posted intimate and sexually explicit videos and photos of her on the X app without her consent. She says the posts have since been removed, but still caused her emotional harm. Yailin is seeking more than $1 million in damages and wants the court to block him from posting any more explicit images or videos of her. Play video content TMZ Studios

Tekashi 6ix9ine tells TMZ his side ... claiming he helped Yailin out when she had no money. He says for her to turn around and say he stole money from her has left him speechless. He insists ""All that jewelry is mine ... that car she's riding in I bought ... the penthouse shoe [sic] got in the Dominican Republic I bought ...",gpt-4o-mini,dt03
entertainment_7.json,https://www.tmz.com/2024/09/20/detroit-lions-tailgate-shooting-captured-on-video/,"Detroit Lions Fatal Tailgate Shooting Captured On Video Play video content TMZSports.com

The Sunday afternoon shooting at a Detroit Lions tailgate party that resulted in the loss of two lives was all captured on video ... and, warning, the footage is graphic. In the clip, obtained by TMZ Sports, you can see several men were out at Eastern Market in downtown Detroit following the Lions' loss to the Tampa Bay Buccaneers at Ford Field ... when an argument breaks out. At least half a dozen people can be seen exchanging words ... when, suddenly, one of the guys wearing a black T-shirt and black jeans brandishes a gun in his right hand. After appearing to cock the firearm, the man walks into the face of another taller man in red shorts. Moments later, that guy then pulls out his own gun -- and shoots one time. Nearly everyone in the area disperses after the shot rings out ... and minutes later -- the video shows two men were left bleeding and laying motionless on the ground. Authorities say the bullet that was fired ended up passing through both men during the incident -- causing fatal injuries to the two. Cops initially placed the shooter in custody -- although later in the week, officials revealed he would not face criminal charges because he ""was defending himself."" Play video content TMZ Studios

""We looked at all the applicable laws,"" Wayne County Prosecutor Kym Worthy said, ""and there is no crime that can be charged or proven beyond a reasonable doubt."" Eastern Market officials say they've canceled their planned tailgate for the Lions' next home game on Sept. 30 in wake of the tragedy.",gpt-4o-mini,dt03
entertainment_8.json,https://www.tmz.com/2024/09/20/gigi-hadid-zayn-malik-celebrate-daughter-birthday/,"Zayn Malik & Gigi Hadid Celebrate Daughter Khai's Birthday, Reveal Her Full Name Anything for Our Little Girl!!! Gigi Hadid and Zayn Malik may no longer be together, but they share one important thing in their life ... their daughter, Khai. The 2 celebrities showered their daughter with love on Instagram Thursday, as their youngster turned 4 years old. The supermodel took to the picture-sharing site to share a glimpse into Khai's 4th birthday bash ... which mashed-up a theme of rainbows, ""The Mandalorian,"" and Disney Channel's ""Descendants."" Khai blew out her candles from a massive Baby Yoda cake ... which had rainbow layers on the inside. There was also a big, inflatable slide, as well as an arts and crafts station ... proving Gigi spared no expense for her little one's birthday. Play video content TMZ Studios

However, eagle-eyed fans noticed one party detail that seemed to reveal Khai's full name ... a fake royal scroll announcing the 4-year-old's enrollment at Auradon Prep, the school at the center of the 'Descendants' movies. If you take a closer look, the name reads Khai Malik ... confirming for the first time that Khai has her father's surname. While it's unclear if Zayn was in attendance for Khai's big birthday party, the singer took to social media to share his own tribute for the kiddo ... where he called her the ""most important person in [his] life."" Waiting for your permission to load the Instagram Media. He continued ... ""I love you more than words allow me to express, beyond proud to call you my daughter.. grateful for every second I get to spend next to you, as you become the incredible person I know you already are.",gpt-4o-mini,dt03
entertainment_9.json,https://www.tmz.com/2024/09/20/90-day-fiance-big-ed-wants-film-fourth-relationship-engaged/,"'90 Day Fiancé' Star Big Ed Talks Engagement, Hopes to Film Relationship Play video content TheImageDirect.com

Big Ed's in love once again ... chatting with photogs after getting engaged for the fourth time -- and, giving the full scoop on his new love.

""90 Day Fiancé"" star Edward ""Big Ed"" Brown -- who got engaged to 29-year-old Porscha Raemond within 24 hours of meeting her -- dished on the new connection in a street convo Friday afternoon ... saying he fell in love at first sight.

Play video content SEPTEMBER 2024 TMZ.com

Watch the vid ... Ed says he knows how crazy it sounds ... but, adds he felt an instant connection -- and, jumped in headfirst without thinking much about the decision.

Big Ed says this time's different from his last engagements, by the way ... notably saying Raemond has super fresh breath -- a far cry from Rose Vega, his second fiancée, who he broke up with over bad breath and body hair.

And, fans might be able to watch their whole relationship develop ... with Ed saying he hopes to film their involvement -- though he says he doesn't want a TV show to stand in the couple's way.

Big Ed met Porscha earlier this month at a meet and greet in Florida ... and Ed turned it into a meet, greet and proposal hours later -- taking onlookers by surprise.

Ed first married Sandra Heckman decades before his reality TV fame ... though the two split in 1992 due to his infidelity. He got engaged to Vega, and then Liz Woods later on -- he and Liz had a roller-coaster relationship that ended in disaster.",gpt-4o-mini,dt03
entertainment_10.json,https://www.tmz.com/2024/09/20/donald-trump-reposts-fake-photo-kamala-harris-diddy-freak-off-party/,"Donald Trump Shares Fake Pic of Kamala Harris at a Diddy 'Freak Off' Party Donald Trump has been caught sharing his own bit of ""fake news"" again ... reposting a doctored image of Kamala Harris, implying she attended one of Diddy's alleged ""Freak Off"" parties. The Republican nominee took to his social media site, Truth Social, this week, where he reposted a photo shared by a user ... which showed the Vice President posing next to ""Diddy"" and another woman. In the wake of Diddy's arrest and indictment, the original poster speculated the Democratic presidential nominee may've attended one of the rapper's alleged Freak Offs -- which prosecutors have described as drug-fueled, days-long sex parties. However, the image Trump ReTruthed to his more than 7 million followers was clearly doctored. The real original photo -- which actually featured Harris posing with her ex Montel Williams and his daughter Ashley at the 8th Annual Race to Erase Multiple Sclerosis in 2001 -- later surfaced on X. Looking at the photos side by side, it's clear someone slapped Diddy's face over Williams' ... an attempt to connect the VP to the disgraced rap mogul. This isn't the first time the photo of Harris and Montel has been used against the Vice President. Prior to this fake image, MAGA supporters pushed out the red carpet pic as evidence that Harris used celebrities for clout. Williams has defended his former girlfriend in the past. Back in 2019, when Harris first ran for the Oval Office, Williams took to X and confirmed he and the former senator ""briefly dated."" . @KamalaHarris and I briefly dated about 20 years ago when we were both single.",gpt-4o-mini,dt03
