doc_id,source,document,LLM_q,doc_prompt
finance_1.json,https://www.investopedia.com/arm-added-to-the-phlx-semiconductor-sector-index-8716031,"Arm Added To the PHLX Semiconductor Sector Index Key Takeaways Arm Holdings has been added to the PHLX Semiconductor Sector Index.

Arm ADRs have jumped some 150% in just over a year as a publicly traded company.

CEO Rene Haas said the decision by the index underscored his firm's rapid growth.

High-flying Arm Holdings (ARM) on Friday announced that it has been added to the PHLX Semiconductor Sector Index (SOX), effective today.

American depositary receipts (ADRs) of the chip and software design firm have soared about 150% since it began trading on the Nasdaq last September, fueled by demand for artificial intelligence (AI) products.

Chief Executive Officer (CEO) Rene Haas said that in just one year as a public company, ""Arm has continuously reinforced its position as the foundational compute platform across every technology touchpoint."" Haas added that being added to the SOX index ""underscores the rapid growth our company has seen as we continue to diversify our solutions and scale across multiple markets.""

Analysts Bullish on Arm

Last week, Morgan Stanley made Arm ""Our New Top Pick,"" with the analysts calling it ""an important part to the shift in edge AI,"" which is the use of AI data closer to its source, rather than centrally located in a cloud computing facility or data center."" They pointed out how Arm’s architecture was being used in the Apple's (AAPL) A18 processor inside the new iPhone 16.

Also last week, Raymond James analyst Srini Pajjuri initiated coverage on Arm with an ""overweight"" rating and price target of $160. Pajjuri also mentioned the importance of Arm's connection to the iPhone 16, and added that the company was ""well-positioned to benefit from rapid growth of GenAI in the cloud and at the edge.""

Arm ADRs slipped 1% to $138.41 in late-afternoon trading Friday but are up about 85% this year.

",gpt-4o-mini,dt03
finance_2.json,https://www.investopedia.com/novo-nordisk-sinks-on-obesity-drug-study-disappointing-results-8716070,"Novo Nordisk Sinks on Obesity Drug Study's Disappointing Results Key Takeaways Novo Nordisk's U.S.-listed shares lost ground Friday after a Phase 2a trial of the pharmaceutical firm’s latest obesity treatment showed less effectiveness in higher doses. Based on the results, Novo Nordisk said it would be initiating a larger Phase 2b study next year. Novo Nordisk shares were down over 5% in intraday trading Friday, though even with Friday's losses, they've gained more than 22% since the start of the year. Novo Nordisk's (NVO) U.S.-listed shares lost ground Friday after a study of the pharmaceutical firm’s latest obesity treatment showed less effectiveness in higher doses. The company said a Phase 2a trial of the drug monlunabant found patients with a baseline weight of 110.1 kilograms (242.7 pounds) taking 10 milligrams once a day for 16 weeks achieved a drop of 7.1 kilograms (15.7 pounds), versus 0.7 kilograms (1.5 pounds) for those given a placebo. However, increasing the dosage produced “limited additional weight loss.”

Novo Nordisk also reported mild to moderate neuropsychiatric side effects, primarily anxiety, irritability, and sleep disturbances, “were more frequent and dose dependent with monlunabant compared to placebo.”

Novo Nordisk Plans Larger Study Next Year

Based on the results, Novo Nordisk said it would be initiating a larger Phase 2b study next year “to further investigate dosing and the safety profile of monlunabant.”

The company is a leader in the weight-loss medicine category, with the booming popularity of its Wegovy and Ozempic injectables. However, it has received criticism over the high price of the drugs, and a Novo Nordisk executive reportedly said earlier this week that Ozempic is “very likely” to be targeted by the U.S. government for a price cut for Medicare recipients.",gpt-4o-mini,dt03
finance_3.json,https://www.investopedia.com/lennar-stock-drops-investors-homebuilder-latest-outlook-8715866,"Lennar Stock Drops as Investors Don't Like the Homebuilder's Latest Outlook Key Takeaways Lennar Corporation beat expectations on the top and bottom lines with its fiscal third-quarter results.

The homebuilder guided investors toward no quarter-over-quarter growth for its gross margin on home sales.

The stock, which rose Thursday following the Fed's rate cut, gave back some of those gains today.

Lennar (LEN) shares dropped Friday despite stronger-than-expected quarterly results as the homebuilder's guidance left investors uninspired.

The company said it expects its fiscal fourth-quarter gross margin on home sales to hold flat quarter-over-quarter at 22.5%, below the analyst consensus from Visible Alpha. It expects between 19,000 and 19,300 new home orders and an average sales price of $425,000, in line with Street estimates.

Lennar beat expectations for the third quarter ended August 31, posting revenue that grew 9% year-over-year to $9.4 billion. Earnings per diluted share rose $4.26, while new orders improved 5%.

CEO Stuart Miller pointed to an improving environment for homebuilders. Several homebuilder shares rose Thursday, climbing following the Federal Reserve’s decision to cut rates, which is expected to lead to lower mortgage rates.

""We are pleased to report another solid quarter backed by an economic environment that remains very constructive for homebuilders,” Miller said. “Employment was strong, housing supply remained chronically short due to production deficits of over a decade, and demand was solid driven by strong household formation.”

Shares of Lennar dropped 4% in recent Friday trading. KB Home (KBH), which reports earnings on Tuesday, saw shares slide more than 1%, compared to a 0.2% decline in the S&P 500.",gpt-4o-mini,dt03
finance_4.json,https://www.investopedia.com/top-stock-movers-now-fedex-nike-constellation-energy-and-more-8715914,"Top Stock Movers Now: FedEx, Nike, Constellation Energy, and More Key Takeaways The S&P 500 and Nasdaq lost ground at midday Friday after rallying to record highs Thursday in the wake of the Federal Reserve's rate cut.

FedEx shares fell after the package delivery firm missed profit and sales estimates and cut its outlook.

Constellation Energy shares hit a record high on a deal with Microsoft to provide power to the software firm from the restarted Three Mile Island nuclear plant.

The S&P 500 and Nasdaq lost ground at midday Friday after rallying to record highs Thursday in the wake of the Federal Reserve's rate cut. The Dow was little changed and slightly higher.

FedEx (FDX) shares cratered after the package delivery firm missed profit and sales estimates and cut its guidance on falling demand.

Shares of Lennar (LEN) fell as the homebuilder’s current-quarter outlook for gross margin on home sales was below forecasts.

Trump Media & Technology Group (DJT) shares dropped as investors digested the possibility former President Donald Trump or other company insiders and investors could begin selling shares following the expiration of lock-up agreements.

Constellation Energy (CEG) shares hit an all-time high after the utility announced it would restart the Three Mile Island Unit 1 nuclear plant to provide power for Microsoft’s (MSFT) data centers. The news boosted shares of other electricity providers, including Vistra (VST) and NRG Energy (NRG).

Shares of Nike (NKE) gained after the athletic shoe and clothing giant said former executive Elliott Hill, who spent 32 years at the firm, would replace John Donahoe as CEO.

Oil futures declined and gold prices rose. The yield on the 10-year Treasury note was little changed. The U.S. dollar was up on the euro and yen, but lost ground to the pound. Most major cryptocurrencies traded higher.



TradingView",gpt-4o-mini,dt03
finance_5.json,https://www.investopedia.com/wall-street-welcomes-new-nike-ceo-elliott-hill-stock-rises-8715838,"Nike Stock Climbs as Wall Street Analysts Welcome a CEO Change Key Takeaways Nike's hard-hit shares topped the Dow's leaderboard Friday as Wall Street analysts largely welcomed the company's appointment of longtime executive Elliott Hill as its new CEO. Jefferies stuck with its hold rating noting that Hill will have to handle headwinds including more competition since he left the firm four years ago. Bank of America maintained its buy rating and said Hill’s long previous tenure with Nike bodes well for its restructuring. Nike's (NKE) hard-hit shares rallied Friday, topping the Dow's advancers, as Wall Street analysts largely welcomed the company's appointment of veteran executive Elliott Hill as its new Chief Executive Officer (CEO). Hill, who had spent 32 years at the firm and retired in 2020, was last head of the company's consumer and marketplace division. He will replace John Donahoe, who departs after almost five years as CEO. Shares of Nike were up about 6% in recent trading, leaving them down roughly 20% for the year. Jefferies Notes Nike's Headwinds, Such as Rising Competition, Distribution Changes

Jefferies analysts said investors cheered the news of Hill's appointment, marking a vote of confidence for the executive. But they also noted that Hill is facing challenges after his four years away, such as “rising competition and changes in distribution, brand building, and product.”

Hill, who starts his new role on Oct. 14, returns to a company that has seen its stock tumble as it struggled to compete against upstarts like Hoka. In June, Nike reported disappointing fiscal fourth-quarter results and warned of changes to its outlook. Donohoe, who started at the role as the pandemic struck, had shifted a lot of Nike's sales online and away from long-time retail partners—a strategy that hurt the brand once people were shopping in person again.",gpt-4o-mini,dt03
finance_6.json,https://www.investopedia.com/biden-administration-announces-usd3-billion-in-battery-supply-chain-investments-8715780,"Biden Administration Announces $3B in Battery Supply Chain Investments Key Takeaways The Biden administration is awarding $3 billion in investments across 25 projects along the battery supply chain, the Department of Energy announced Friday.

The projects will support construction and renovations of facilities to make batteries, process minerals involved in batteries, or recycle old batteries.

Honeywell and lithium producer Albemarle are among the companies set to benefit.

Honeywell (HON) and lithium producer Albemarle (ALB) are among 25 companies set to benefit from federal funding to support America's battery manufacturing capabilities.

The Biden administration is awarding $3 billion in investments across several projects along the battery supply chain, the Department of Energy announced Friday.

The effort to boost America's battery production capabilities joins other technology and energy-focused efforts from the Biden administration, such as the CHIPS Act to support semiconductor manufacturing in the U.S.

Projects Expected To Create 12,000 Jobs

The DOE said the 25 projects selected for funding in Friday's announcement span 14 states and are projected to create at least 12,000 jobs over the course of the construction and operation of the facilities.

The efforts range from renovations or expansion of existing facilities to the construction of new plants that operate along the battery supply chain, from processing minerals to building or recycling batteries.

The investment follows a first round of $1.8 billion spread across 14 projects to ""build and expand commercial-scale facilities to extract lithium, graphite, and other battery materials, and battery component manufacturing,"" the DOE said.",gpt-4o-mini,dt03
finance_7.json,https://www.investopedia.com/constellation-energy-stock-jumps-three-mile-island-microsoft-8715895,"Constellation Energy Stock Jumps on Plan to Restart Three Mile Island Site With Microsoft Key Takeaways Constellation Energy will restart the Three Mile Island Unit 1 nuclear plant to provide electricity to power Microsoft's data centers. The 20-year deal is part of Microsoft's effort to reduce its carbon footprint, the software giant said. The news sent Constellation Energy shares to a record high. News that Constellation Energy (CEG) plans to bring Pennsylvania's Three Mile Island out of mothballs to provide ""clean"" energy for Microsoft (MSFT) sent Constellation's shares to an all-time high. The power utility announced a 20-year agreement with the software giant to create the Crane Clean Energy Center, which involves restarting the Three Mile Island Unit 1 that was shuttered five years ago. The adjacent Unit 2 was shut down in 1979 after a malfunction caused a partial core meltdown, which led to significant changes in the nuclear power industry. Unit 2 is separately owned and is being decommissioned, Constellation said. The agreement will have Microsoft buying electricity from Unit 1 as part of its effort to help provide carbon-free energy to its data centers on the Pennsylvania-New Jersey-Maryland power transmission system. Financial details were not disclosed. With today’s gains of about 15%, shares of Constellation Energy have more than doubled this year. Microsoft shares were recently lower as tech stocks retreated following big Thursday gains. Constellation CEO Joe Dominguez said powering key industrial operations like data centers “requires an abundance of energy that is carbon free and reliable every hour of every day, and nuclear plants are the only energy sources that can consistently deliver on that promise.”



Constellation said it would spend approximately $1.6 billion, including the cost of nuclear fuel, to restart the plant, the reopening of which is scheduled for 2028.",gpt-4o-mini,dt03
finance_8.json,https://www.investopedia.com/trump-media-technology-stock-falling-djt-lock-ups-truth-social-8715810,"Trump Media & Technology's Stock Can't Stop Falling Key Takeaways Shares of Truth Social's parent company, majority owned by former President Donald Trump, extended their retreat Friday.

Investors are digesting the possibility that Trump or other investors who were previously prohibited from selling shares could soon begin doing so.

Trump last week said, ""I'm not going to sell my shares.""

The rough week for shares of Truth Social's parent company continued Friday.

Shares of Trump Media & Technology (DJT), the company majority-owned by former President Donald Trump, were recently down more than 3%, trading around $14.25 per share after finishing last week near $18.

Lock-Up Agreements Expired

The stock is falling as investors digest the possibility that Trump or other company insiders and investors could begin selling shares following the expiration of lock-up agreements that prohibited them from doing so. Trump in an interview last week said, ""I'm not going to sell my shares.""

Selling by major shareholders would likely exert further downward pressure on a stock that earlier this year changed hands at around $70, soaring shortly after Truth Social's then-parent merged with a blank-check company.

The expiration of the lock-up agreements could also ""facilitate increased short selling in the stock,"" according to a Thursday note from S3 Partners.

Trump Media was as of Thursday the worst-performing stock in the Russell 1000 since Aug. 5, according to Bespoke Investment Group. The index, which represents the largest 1,000 U.S. companies by market capitalization, has broadly risen during that time.

",gpt-4o-mini,dt03
finance_9.json,https://www.investopedia.com/tech-stocks-pull-back-friday-fed-rally-magnificent-seven-8715869,"Tech Stocks Pull Back Friday, Hitting the Brakes on Fed-Fueled Rally Key Takeaways Tech stocks pulled back in early trading Friday after Thursday’s rally helped propel major indexes to new highs in the wake of the Federal Reserve’s supersized rate cut. Some analysts suggested this week’s rate cut could set up tech stocks for gains heading into the end of this year and into next year. While the Fed cautioned against assuming more jumbo cuts lie ahead, markets are pricing in expectations the central bank will continue aggressively cutting rates this year. Tech stocks pulled back in early trading Friday, hitting the brakes on the market’s rally in the wake of the Federal Reserve’s supersized rate cut this week. The S&P 500 was down about 0.4% Friday after hitting record highs Thursday, with the energy and industrials sectors leading broad-based declines and its tech sector down about 0.6%. The tech-heavy Nasdaq fell 0.6%. Semiconductor Stocks Lead Tech Declines

Semiconductor stocks including Onsemi (ON), ASML (ASML), and NXP Semiconductors (NXPI), were among the stocks leading losses on the major indexes, pulling the PHLX Semiconductor Index down 2%. The Magnificent 7 stocks were mixed. AI darling Nvidia (NVDA), Amazon (AMZN), Microsoft (MSFT), and Tesla (TSLA) lost ground, while Meta Platforms (META) and Alphabet (GOOGL) were slightly higher. Apple (AAPL) advanced as its iPhone 16 hit stores. Some Analysts Say Lower Rates Could Lead to Tech Gains

Some analysts have suggested this week’s cut could set the stage for tech stocks to gain over the last few months of the year and into next year, with Wedbush analysts writing yesterday that “the green light is back on for the tech growth trade.”

While the Fed cautioned this week against assuming more jumbo cuts lie ahead, markets are largely expecting the central bank to continue aggressively cutting rates this year, according to CME Group's FedWatch tool based on fed funds market data.",gpt-4o-mini,dt03
finance_10.json,https://www.investopedia.com/fedex-stock-tanks-amid-challenging-demand-environment-8715798,"FedEx Stock Tanks Amid 'Challenging' Demand Environment Key Takeaways FedEx shares plunged 15% Friday, a day after the package delivery giant missed quarterly estimates and reduced its forecast as it faced what CEO Rajesh Subramaniam called a ""challenging Q1 demand environment,"" especially in the U.S.

The company pointed to weakness in the industrial economy impacting business-to-business revenue.

FedEx also said it faced a decline in priority shipping volume and growth.

FedEx (FDX) shares plunged 15% Friday, a day after the package delivery giant missed quarterly estimates and reduced its forecast as it faced what Chief Executive Officer (CEO) Rajesh Subramaniam called a ""challenging Q1 demand environment,"" especially in the U.S.

Subramaniam told analysts that weakness in the industrial economy dragged down business-to-business (B2B) volumes. Chief Customer Officer Brie Carere added that the drop in B2B sales led to a 3% volume decline in U.S. domestic express services.

CFO Says 'Soft Revenue Trends' Affected Results

Chief Financial Officer (CFO) John Dietrich noted that the results ""were negatively affected by soft revenue trends, with a global decline in priority volume and growth in deferred volume.""

Deitrich said in light of the first-quarter performance, FedEx was cutting the top end of its full-year adjusted earnings per share (EPS) outlook to $21 from $22. FedEx also sees revenue growth to be in a low-single-digit percentage, down from its earlier forecast of a low- to mid-single-digit percentage.

Jefferies Lowers Price Target

Following the report, Jefferies reduced its price target to $275 from $300. The analysts argued that with the current quarter expected to be pressured and its first-half EPS estimates down 20%, ""we do not think the company can achieve the low end of its EPS guide.""

Shares of FedEx plunged more than 15% in late-morning trading Friday to $254.30, less than 1% above where they began the year.

",gpt-4o-mini,dt03
