doc_id,source,document,LLM_q,doc_prompt
food_1.json,https://foodanddrink.scotsman.com/drink/whisky/lagavulin-launches-extremely-exciting-2024-limited-edition-jazz-festival-whisky/,"Lagavulin launches ‘extremely exciting’ 2024 limited edition Jazz Festival whisky Lagavulin has announced the release of an exclusive 14 Year Old bottling, finished in South African Cabernet Sauvignon wine casks to celebrate Islay Jazz Festival – offering fans a luxurious take on the characteristic Lagavulin smoke. The Lagavulin Jazz Festival returns for an unforgettable blend of world-class jazz, delicious whisky, and wonderful Scottish scenery. This year’s festival, starting on 20 September, features an line-up of musicians and special guests, making it an unmissable event for jazz and whisky enthusiasts alike. The 2024 festival line-up includes jazz legends and emerging talents such as pianist Paul Harrison, saxophonist Helena Kay, vocalist Laura Oghagbon, and the Islay Jazz Festival icon Laura Macdonald. Jordan Paisley, Lagavulin distillery manager said of the festival: ""Lagavulin Jazz Festival has been a highlight for Islay residents and fans around the globe and we’re very excited to celebrate this moment with such a special bottling. “This is a rich complex Lagavulin with dark and tropical flavours that add a new layer to our much loved signature smoke."" The Lagavulin Jazz 2024 release is a 14-Year-Old Single Malt Whisky finished in South African Cabernet Sauvignon wine casks, which gives the whisky a creamy-smooth texture and sweet initial taste, balanced by saltiness and Lagavulin’s smoky character. Described by the highly celebrated whisky writer Charles MacLean as ‘an exciting example of Lagavulin, slightly sweeter than regular bottlings, but with good distillery character’. Lagavulin will be hosting two All That Jazz tastings on the 21 September, in which guests will enjoy a tasting of five rare expressions of Lagavulin including some long sold out gems, each paired with a music track to match the flavour of the whisky.",gpt-4o-mini,dt03
food_2.json,https://foodanddrink.scotsman.com/in-the-news/the-best-new-cookbooks-for-cosy-meals-this-autumn-including-the-hebridean-baker/,"The 17 best new cookbooks for cosy meals this autumn - including The Hebridean Baker The autumn months of September and October will see a slew of new books, including cookbooks, as publishers look towards Christmas shopping. Regardless if you’re buying for a gift or yourself, we’ve listed some of the best new cookbooks available this autumn, including some celebrity releases and The Hebridean Baker’s fourth book. This article contains affiliate links. We may earn a small commission on items purchased through this article, but that does not affect our editorial judgement. Hebridean Baker: The Scottish Cookbook by Coinneach MacLeod

Hebridean Baker: The Scottish Cookbook is the fourth cookbook from social media sensation Coinneach MacLeod aka the Hebridean Baker. This book is a celebration of tradition and the sheer joy of sharing delicious food. Each chapter weaves a narrative of food, folklore, travel and the vibrant cultural tapestry of the Hebrides whilst inviting readers to savour the essence of Scotland, one dish at a time. The bestselling author of Recipes & Wee Stories from the Scottish Islands, My Scottish Island Kitchen and The Hebridean Baker at Home shares stories and adventures alongside a selection of his homely recipes which include savoury pies, indulgent puddings, biscuit tin favourites, cakes for every occasion and festive treats. Hebridean Baker: The Scottish Cookbook will be out on 10 October priced at £26 for the hardback. Pre-order from an independent bookshop here. Between Two Waters: Heritage, landscape and the modern cook by Pam Brunton

The first cookbook from Pam Brunton, chef and owner of Inver, an award-winning restaurant on the shores of Loch Fyne. Between Two Waters follows Pam’s journey of trying to answer ‘what makes modern Scottish food’ by looking at culinary heritage.",gpt-4o-mini,dt03
food_3.json,https://foodanddrink.scotsman.com/drink/negroni-week-dates-cocktail-recipe-and-history-of-this-classic-gin-drink/,"Negroni Week: Dates, cocktail recipe and history of this classic gin drink It's a classic cocktail that's being celebrated this month with modern recipes and events at bars across the country. In its classic guise, the Negroni, which is equal parts gin, Campari and sweet vermouth is the patron saint of the aperitivo: simultaneously bitter and sweet, powerful and refreshing. Negroni history

According to drinks writer Iain Meldrum, writing for The Scotsman, this classic cocktail's origins are somewhat murky – though, as origin stories go, the Negroni’s is as compelling, contentious and as varied as that of any comic book superhero. One of the few details not up for debate is that it was named after someone bearing the moniker Negroni. Whether he was an Italian Count recently back from his adventures in America (where he may or may not have variously been a rodeo rider, a banker or even a Count) or a Corsican General (who may also have been a Count) posted to Senegal in the middle of the 19 th century is quite fiercely contested, at least by those with a claim to the name. The fact that there is no mention of the drink prior to the 1950s only muddies the water further. Picture: Shutterstock

And, like any classic cocktail, the Negroni has several close cousins that vary in the addition, subtraction or substitution of just a single ingredient. Negroni Week

A celebration of the classic cocktail. Negroni week takes place in September. This year it's 16-22 September, and will see bars across the country serving up the drink. In Scotland you can sip on this apéritif in cocktail bars, including Absent Ear in Glasgow, Panda and Sons and Bramble in Edinburgh and the American Bar at Gleneagles.",gpt-4o-mini,dt03
food_4.json,https://foodanddrink.scotsman.com/food/restaurant-reviews/fallachan-kitchen-glasgow-review/,"I tried the 'hidden gem' Scottish chef's table restaurant with seasonal menu that is a Michelin Star contender Chef’s tables are an intimate way to really immerse yourself in the food and cooking techniques, and became all the rage in the 1980s. Based in a Japanese tradition of omakase, which means ""I leave it up to you"" and originating from the practice of chefs entertaining their family and friends where they worked, you can just imagine the relaxed atmosphere of the meeting of good friends and family in the kitchen. Chef’s tables slightly fell out of favour as dining trends changed. Now some of Scotland’s best restaurants, including the Three Chimneys on Skye and The Table in Edinburgh are offering this dining experience once again. The latest chef’s table dining concept in Scotland is Fallachan Kitchen, which opened in a railway arch in Glasgow’s Eastvale Place in March after a run in the Acid Bar at nearby arts and events venue SWG3. It’s the brainchild of chef Craig Grozier, who is known for his innovative, wild Scottish cooking. With a career spanning nearly 26 years, Craig honed his craft working in high-end restaurants in Scotland and around the world before coming back home and creating Fallachan nearly 12 years ago. Inspired by the philosophy of Fallachan, the open kitchen, with a 12-cover communal chef's table, is a multi-functional dining space hosting a variety of culinary experiences on selected dates throughout the year. These include changing seasonal tasting menus, guest chefs, workshops and tastings as well as the space being available for private hire. We booked in for the late summer menu, which runs from early September for four weeks. The location was bustling, and we passed cowboy-hat wearing Bongo's Bingo goers heading into SWG3 while the Scottish rum festival goers were heading home.",gpt-4o-mini,dt03
food_5.json,https://foodanddrink.scotsman.com/in-the-news/lidl-to-open-pick-your-own-turnip-patch-for-a-traditional-scottish-halloween-heres-where-and-when-to-visit/,"Lidl to open pick your own turnip patch for a traditional Scottish Halloween - here’s where and when to visit Taking family fun back to its roots, The Lidl Neep Patch is putting the humble turnip on a pedestal to revive the dwindling Scottish tradition of carving tumshie lanterns at Halloween. Longstanding Lidl supplier, Stewarts of Tayside, grows a momentous 50 million neeps every year and is harvesting a special crop for Lidl’s pop-up turnip patch at Chatelherault Country Park. At the Lidl turnip patch there will be an on-site ‘Tumshie Tent’ with an expert team on hand to hollow out guests’ lanterns alongside an arty area for kids to get crafty before venturing out on the ‘Tattie Bogle Trail’. The ‘Lidl Neepers’ play area will offer good old-fashioned games including a Neep Shy, Neeps and Crosses and Bowling with Neeps as well as a straw bale chute. Turnip pickers can then warm up at the ‘Stovies Stop’ while listening to toe-tapping tunes of Scottish folk musicians. Marco Ivone, Lidl’s regional director for Scotland, said: “Lidl has long been a champion of great quality Scottish produce and neeps are no different - in fact, we’ve worked with our long standing supplier, Stewarts of Tayside, for over 25 years. “This year, we’ll give the humble neep the stage it so deserves and celebrate the fading art of tumshie lantern carving, while giving Scots a one-of-a-kind day out that’s rooted in tradition.”

Dates and tickets for the Lidl turnip patch

Tickets are £5 and available to buy now, with kids under 11 able to go for free. Sessions will run in the morning and afternoon from Saturday 12 to Monday 14 October.",gpt-4o-mini,dt03
food_6.json,https://foodanddrink.scotsman.com/drink/whisky/whisky-review/our-5-favourite-island-whiskies-that-arent-from-islay-including-a-dram-from-scotlands-manhattan/,"Our 5 favourite island whiskies that aren't from Islay - including a dram from ‘Scotland’s Manhattan’ For good reason Islay is the jewel in the crown of island whisky from Scotland. Its whitewashed coastal distilleries that make world renowned peated whisky are well worth visiting. But if you’re looking to try a whisky from one of the other beautiful islands in Scotland, then these drams are some of the best to start you off. With Islay peat isn’t for everyone, other peated island whiskies are a bit softer and there’s plenty of unpeated options available at these and other island distilleries. This article contains affiliate links. We may earn a small commission on items purchased through this article, but that does not affect our editorial judgement. Lagg Corriecravie, 55% ABV

Best for: those that love sherried whiskies

Score: 5/5

Available from The Whisky Exchange. Buy it here. This is the second core range release from Lagg distillery on Arran, and named after the parish in the village of Lagg. The spirit of Corriecravie is matured initially in bourbon barrels before being finished in Oloroso sherry hogsheads sourced directly from producer Miguel Martin in Jerez, for around six months. The taste profile is slightly richer than the distillery’s flagship Kilmory expression, showing off a different side to the Lagg spirit, bringing to the fore notes of sweeter spices and rich fruits. The Corriecravie Edition is bottled in smaller quantities compared to the Kilmory edition. Concerto malted barley is used in the production here, with the malt peated to 50ppm, making this a softer smoky whisky. Tasting notes include: red berries, toasted chocolate, blackberries and a whisper of sweet smoke. Lagg Corriecravie retails around £65.",gpt-4o-mini,dt03
food_7.json,https://foodanddrink.scotsman.com/drink/whisky/hebridean-whisky-festival-2024-dates-tickets-and-what-distilleries-are-taking-part-in-annual-event/,"Hebridean Whisky Festival 2024: Dates, tickets and what distilleries are taking part in annual event While a lot of whisky festivals take place in the spring and early summer, there are a few that take place in the early autumn. One of these is the Hebridean Whisky Festival, which is a week-long celebration of whisky and whisky making in the Hebridean islands of Benbecula, Harris, Jura, Raasay and Skye. It’s an ideal time to soak up the beautiful scenery and hospitality in these lovely places, while enjoying the change in season. When is the Hebridean Whisky Festival 2024? This year’s festival takes place from 9-14 September, with each distillery having their own events for visitors to enjoy. Which distilleries are taking part in the Hebridean Whisky Festival? The festival showcases the seven Hebridean distilleries - Benbecula, Isle of Harris, Isle of Raasay, Jura, North Uist, Talisker and Tarabhaig. Visitors for the festival can expect to enjoy a dram or two, local food, tours, behind the scenes, live music, tastings and masterclasses. Kicking off with Jura on 9 September, visitors can book in for a manager’s tour which includes an in-depth tour of the production processes, three drams, a complimentary glass and a 70cl Single Cask Distillery Exclusive bottling – matured and bottled on Jura. On Wednesday 11 September it’s North Uist Distillery’s day where whisky fans can tour the brand new production hall at the historic Nunton Steadings. Visitors can enjoy gin samples, whisky cocktails, delicious food from the Lochmaddy Bay prawns food truck and live music. There will also be a Hebridean whisky tasting and autumn wreath making with Sian Swinton, which includes a Downpour G&T.",gpt-4o-mini,dt03
food_8.json,https://foodanddrink.scotsman.com/in-the-news/what-is-pumpkin-spice-origin-of-autumn-flavour-and-where-to-try-it-including-pumpkin-spice-latte-gin-and-chicken-wings/,"What is pumpkin spice? Origin of autumn flavour and where to try it - including pumpkin spice latte, gin and chicken wings It's a flavour that has become synonymous with autumn, but where and when did pumpkin spice originate? From sweet coffees and biscuits to gin and chicken wings, there's many ways to enjoy pumpkin spice. Here we take a look at when the flavour first went mainstream, and the different ways you can try it this autumn. Origins of pumpkin spice

Pumpkin spice is a combination of seasonal spices, usually ginger, nutmeg, cinnamon and cloves, mixed with a pumpkin syrup or puree. These spices date back to the 18th century and, as mixed spice, were first seen in British cook books around 1795. The more recent trend for pumpkin spice comes from America and is tied to the Thanksgiving tradition of making pumpkin pie, which uses these spices and, of course, pumpkin. Starbucks popularised the flavour with the launch of their pumpkin spice latte in the USA and Canada over 20 years ago. Hard to believe as it's seen as quite a new flavour trend for some. Starbucks has made the pumpkin spice latte since 2003 Picture: Shutterstock

The coffee is made using a combination of Starbucks Espresso Roast, pumpkin spice flavoured sauce and steamed milk, topped with whipped cream and pumpkin pie spices – cinnamon, ginger, nutmeg and cloves. Pumpkin Spice lattes really took off in the UK a few years after the US launch and, since 2015, the Starbucks Pumpkin Spice blend has included real pumpkin. As well as the traditional pumpkin spice latte, Starbucks customers can also order a pumpkin spice cold brew coffee and iced pumpkin spice latte. Where to try pumpkin spice

Picture: Eteaket

Most high street coffee chains (excluding Costa) have their own version of the pumpkin spice latte, due to how popular the drink has become.",gpt-4o-mini,dt03
food_9.json,https://foodanddrink.scotsman.com/drink/whisky/ewan-mcgregor-to-auction-island-whisky-from-his-own-cask-for-charity-how-to-buy-a-bottle/,"Ewan McGregor to auction island whisky from his own cask for charity - how to buy a bottle Renowned Scottish actor Ewan McGregor has returned to Lochranza Distillery, where he first toasted the inaugural cask of Arran Single Malt in 1998, to mark a special occasion. McGregor has partnered with the distillery to bottle and auction 150 exclusive bottles from his own personal 1998 cask gifted to him by the distillery. All proceeds will go to Children’s Hospices Across Scotland (CHAS), a charity dedicated to supporting children with life-limiting conditions and their families. The limited-edition bottles will be auctioned by Whisky Auctioneer, from September 27 to October 7. The auction is open to bidders globally. Whisky Auctioneer has waived the seller’s commission and will also donate its 12.5% buyer’s commission, ensuring that the maximum possible funds reach CHAS. Ewan's Cut whisky

This rare 26 year old Arran Single Malt, matured in an ex-Sherry Hogshead cask, is one of the oldest whiskies ever produced by the Lochranza Distillery. Named Ewan's Cut and bottled at 46% ABV, each bottle features a unique, specially designed label. The first twenty-four of the bottles have been personally signed by Ewan McGregor. The Leith Agency worked in partnership with Ewan and his brother Colin McGregor to bring “Ewan’s Cut” to life on a pro-bono basis. The bottle design and name were inspired by Ewan’s illustrious career, featuring references to his iconic roles in films like Trainspotting and Star Wars, as well as his memorable Long Way Round adventure. Each of the 150 bottle labels reads like a mini film script, with no two labels alike. of the auction Ewan McGregor said: “I have been involved with CHAS and visited their hospices many times over the years, so I know the unwavering care that both Rachel House and Robin House provide children and their families during their hardest moments.",gpt-4o-mini,dt03
food_10.json,https://foodanddrink.scotsman.com/drink/whisky/six-scotch-whisky-distilleries-team-up-to-bring-back-1920s-techniques-in-james-eadie-project-1927-how-to-try/,"Six Scotch whisky distilleries team up to bring back 1920s techniques - how to try the spirits Six of Scotland’s independent distilleries have partnered with James Eadie to create an innovative whisky collection, bringing nearly-forgotten 1920s distillation techniques back to life. Project 1927 is the first collaboration of its kind, uniting independent distilleries across Scotland to revive century-old production methods. Inspired by a historic early 20th-century guide to Scotch whisky production, this September marks the first time the public can experience these historic spirits, as each distillery’s unique new make spirit is released in a special collection, marking the beginning of their journey to becoming whisky. The Distillation of Whisky, 1927-1931, one of the few available practical first-hand resources dating from Scotch whisky’s early history, was republished by James Eadie Ltd in 2023 in collaboration with the British Library, and illuminates lost whisky-making techniques from the interwar years. Crafted at Ardnamurchan, Dornoch, Holyrood, InchDairnie, Lochlea, and ‘An Unnamed Farm Distillery in the Heart of the Kingdom of Fife’, with assistance from whisky expert Dave Broom and Alan Winchester, former master distiller of The Glenlivet, the inventive new make spirits were produced adhering to techniques derived from The Distillation of Whisky. Each distillery has drawn its own inspiration from the book to imitate production methods from 100 years ago, blending tradition with modern expertise to produce spirits that offer a truly unique taste of Scotch whisky’s rich heritage. This collaborative effort not only revives lost techniques but also sets a new benchmark in today's whisky industry. The distilleries had exclusive use of locally grown barley or those varieties that were grown in the 1920s as well as exclusive use of brewer's yeast for distilling, something which was standard at that time but is now almost unheard of.",gpt-4o-mini,dt03
