doc_id,source,document,LLM_q,doc_prompt
politics_1.json,https://www.theatlantic.com/ideas/archive/2024/09/campus-protest-encampments-unethical/679882/?utm_source=feed,"Campus Protest Encampments Are Unethical This semester, student protesters opposed to Israel’s war in Gaza have already defaced a statue at Columbia, vandalized an administration building at Cornell, and blocked access to a convocation at Pomona College. Whether they will return to the tactic of erecting protest encampments, as happened on nearly 100 campuses last spring, is uncertain. Proponents of the encampments felt that their cause was urgent, that occupying space to protest is a time-honored tactic in the tradition of the civil-rights movement, and that calling police to clear encampments was violent authoritarianism. Critics of encampments countered that, when deployed last semester, they disrupted teaching and learning, violated the rights of many students to traverse their own campuses, caused some to fear for their physical safety, sparked violence, and imposed those costs and others without ending the war in Gaza or having any realistic chance of doing so. The practical, legal, and moral arguments against occupying the quad add up to a protest tactic with costs that far outweigh any benefits. Some of the problems with encampments are obvious, others subtle; taken together, they show that academic communities cannot thrive when any group uses coercion to try to force others to adopt its ideas––an approach that usually fails anyway. Activists should reject encampments as both unethical and ineffective. UCLA offers a case study in what’s wrong with encampments. Royce Quad is a space many students crisscross to access central parts of campus. On April 25, pro-Palestine protesters formed an encampment with barricades. Entrances were guarded by activists, many of them masked. They barred entry to students who support Israel’s existence.",gpt-4o-mini,dt03
politics_2.json,https://www.theatlantic.com/ideas/archive/2024/09/campus-antisemitism-response-proposals/679669/?utm_source=feed,"How Colleges Should Address Anti-Semitism After Hamas attacked Israel on October 7, and during Israel’s ongoing military response in Gaza, activists organized anti-Israel protests on dozens of college campuses. Amid rallies, encampments on quads, and occupations of campus buildings, anti-Semitism surged. Some groups expressed solidarity with Hamas. Some individuals tore down posters urging the safe return of hostages. Some student activists harassed, intimidated, and vilified their Jewish peers, or attempted to restrict the movements of suspected Zionists. In response, several institutions, including Stanford, Harvard, Columbia, and the University of Pennsylvania, created task forces to study anti-Semitism on their campuses. Now those task forces have begun to release reports with findings and recommendations. Stanford found anti-Semitism to be “widespread.” Harvard reported that Jews and Israelis faced “shunning, harassment, and intimidation.” Columbia found that they “have been the object of racist epithets and graffiti, anti-Semitic tropes, and confrontational and unwelcome questions.” All of the task forces explored how to protect Jews from discrimination, harassment, and barriers to educational access, while also honoring commitments to free speech. Most schools urged expanding diversity, equity, and inclusion frameworks to encompass and benefit Jews. Theo Baker: The war at Stanford

But Stanford rejected that approach, arguing that DEI is itself “fundamentally flawed.” Instead, its task force recommended treating all students equally and helping them to forge a culture that encourages constructive disagreement. Alone among the reports, the Stanford recommendations offer its campus and other institutions that heed its advice a path to a better future. DEI ideology, programs, and bureaucracies have powerfully shaped campus life over the past decade.",gpt-4o-mini,dt03
politics_3.json,https://www.theatlantic.com/politics/archive/2024/08/kamala-harris-questions-criminal-justice/679628/?utm_source=feed,"Seven Questions That Should Be Easy for Harris to Answer Sign up for The Decision, a newsletter featuring our 2024 election coverage. A presidential nominee normally accounts for their past actions in public life and clarifies their plans for the future. This year, Kamala Harris ran in no primaries, and since becoming the presumptive Democratic nominee, has not had a formal press conference where she would be expected to answer questions from reporters. She has not sat down for an in-depth interview on television or with a major paper such as The New York Times and The Washington Post. (CNN recently announced that Harris and her running mate, Minnesota Governor Tim Walz, will be interviewed by one of the network’s anchors this week.) This avoidance may be a strategy to keep the “good vibes” of her campaign going, but it does a disservice to voters and bodes poorly for how transparent and forthcoming Harris would be if she wins the presidency. Before Harris was vice president or a U.S. senator, she spent roughly a quarter century in the criminal-justice system––she was California’s attorney general, San Francisco’s district attorney, and a deputy district attorney in Alameda County, a job she took shortly after graduating from law school. Her work as a prosecutor constitutes the bulk of her career. She wrote a 2009 book, Smart on Crime: A Career Prosecutor’s Plan to Make Us Safer, laying out her policy views. And she has talked a lot about criminal-justice issues in her years as a national politician. Yet even her positions on important criminal-justice issues remain unclear, because of inconsistencies in her actions and statements and failures to address tough questions posed by critics of her record.",gpt-4o-mini,dt03
politics_4.json,https://www.theatlantic.com/ideas/archive/2024/08/instagram-friends-photos-videos/679341/?utm_source=feed,"Why I Hate Instagram Now When I’m invited to a wedding, I try to say yes, even if the ceremony will be long and boring. En route, I sometimes think how nice it would be to stop for a beer, skip the rites, and arrive in time for what moves me most: the vows. Of course, I never indulge that impulse. I get there on time and sit, bored, because I am there to support my friends, not to be maximally entertained. But would I make it to the church on time if, on my ride there, a devil on my shoulder tempted me with particular diversions? “Forget the ceremony: Bruce Springsteen is drinking at that brewery!” the imp might whisper. “Look, that elderly man is dazzling teens with playground dunks! Wow, 22-year-olds in bikinis are washing Ferraris outside that mansion! Whoosh, skateboarders are bombing down that hill!”

In my digital life, Instagram is that devil. When the app launched in 2010, my friends and I loved how easy it was to share images that conveyed bits of our lives to one another. It helped us stay in better touch across time and distance than we might have otherwise. It hardly mattered that some of the photos we posted were, well, boring. But lately, I am starting to hate Instagram. Because my loved ones are still on the platform, I still post there and peruse my feed, but I resent that it actively obstructs my efforts to prioritize them and their posts. I gladly set out to see them. And Instagram keeps tempting me with diversions.",gpt-4o-mini,dt03
politics_5.json,https://www.theatlantic.com/politics/archive/2024/07/joe-biden-loyalty-argument/678939/?utm_source=feed,"The Worst Argument in Favor of Keeping Joe Biden As Democrats debate whether to replace President Joe Biden, an ill-conceived argument for retaining him as the nominee is alarmingly common. Its premise is that Biden has earned voters’ loyalty—as if the question that confronts Americans is what we owe an individual politician rather than what’s best for the country. No matter how one feels about Biden, that premise is deeply flawed. Vice President Kamala Harris put it this way last week: “President Joe Biden has devoted his life to fighting for the people of our country. In this moment, I know all of us are ready to fight for him.”

California Governor Gavin Newsom declared, “Joe Biden’s had our back. Now it’s time to have his.”

Governor Wes Moore of Maryland told reporters, “The president has always had our backs, and we’re going to have his back as well.”

Loyalty can be a virtue, but this invocation of it is appalling. I am glad that Biden prevailed in 2020. I am grateful for his public service, despite disagreeing with his ideology. But do Harris, Newsom, and Moore really believe that if a president works on behalf of the public––that if he does the job that he sought out and was paid to perform––he is owed reelection, even if his cognitive capacities suddenly decline or other circumstances arise to make him less capable of doing his job well? Their loyalty statements do not argue that Biden is the Democrat most likely to beat Donald Trump, or that Biden would make the best president of any electable Democrat, or that Biden will be cognitively capable of serving four more years as president, or even that his present cognitive abilities are sufficient.",gpt-4o-mini,dt03
politics_6.json,https://www.theatlantic.com/ideas/archive/2024/06/harvard-antisemitism-lawsuit/678833/?utm_source=feed,"How Congress Could Protect Free Speech on Campus Last year at Harvard, three Israeli Jews took a course at the Kennedy School of Government. They say that because of their ethnicity, ancestry, and national origin, their professor subjected them to unequal treatment, trying to suppress their speech in class and allowing teaching assistants and classmates to create a hostile climate for Jews. Afterward, they filed a complaint with Harvard alleging a violation of their civil rights. In May, their allegations appeared in a federal civil-rights lawsuit. It cites their claims as evidence that Harvard “ignores and tolerates” anti-Semitism. Their professor, who is also Jewish, rejects that narrative and maintains that he taught the class appropriately. What do colleges owe their Jewish students? Administrators, faculty, and members of Congress have debated that polarizing question in recent months. Soon, judges and juries may impose some answers. At least 19 lawsuits pending against institutions of higher education allege anti-Semitism that violates Title VI of the Civil Rights Act, which mandates that no person shall, on grounds of race or national origin, “be denied the benefits of, or be subjected to discrimination under” a program that receives federal funds. Dara Horn: Why the most educated people in America fall for anti-Semitic lies

If you had to choose just one of these cases to illustrate their fraught implications, you couldn’t do better than the dispute at Harvard. The students make a strong case that they were subject to discrimination, strong enough that an outside attorney hired by Harvard to investigate agreed. At a minimum, I think they were treated unfairly. Yet validating their claims would also mean rejecting their professor’s plausible defense of his pedagogical judgments, despite his indisputable expertise, undermining academic freedom.",gpt-4o-mini,dt03
politics_7.json,https://www.theatlantic.com/politics/archive/2024/06/california-criminal-justice-gavin-newsom/678631/?utm_source=feed,"Why California Is Swinging Right on Crime As Gavin Newsom rose from mayor of San Francisco to governor of California, he championed progressive efforts to reclassify various felonies as misdemeanors, to end the death penalty, and to legalize marijuana. After George Floyd’s murder in 2020, he signed laws barring cops from using a controversial chokehold and requiring independent probes in police shootings, bragging that “California has advanced a new conversation about broader criminal justice reform.”

But since his second term began last year, he has more often talked like a tough-on-crime conservative, promoting efforts to hire more cops; to surge state police into high-crime cities; to impose harsher penalties on drug dealers, car burglars, and retail thieves; to install more surveillance cameras; and to deploy state prosecutors to Alameda County, where the progressive district attorney is flailing. “An arrest isn’t enough,” Newsom said this year, urging more prosecutions. “Whether it’s ‘bipping’ or carjacking, attempted murder or fentanyl trafficking, individuals must be held accountable for their crimes using the full and appropriate weight of the law.”

Mark Leibovitch: Gavin Newsom can’t help himself

That hard pivot to the politics of law and order describes not only California’s governor, but the Golden State as a whole. Voters and the politicians who represent them, mostly Democrats, embraced progressive attitudes and rhetoric toward criminal-justice reform for at least a decade. By the summer of 2020, the University of Southern California politics professor Dan Schnur told the Financial Times, “it appeared we were witnessing a seminal shift in public thinking on these issues.” But just two years later, he continued, “more traditional approaches to public safety” were resurgent.",gpt-4o-mini,dt03
politics_8.json,https://www.theatlantic.com/ideas/archive/2024/06/canada-online-harms-act/678605/?utm_source=feed,"Canada’s Extremist Attack on Free Speech A bill making its way through the Canadian Parliament would impose draconian criminal penalties on hate speech and curtail people’s liberty in order to stop crimes they haven’t yet committed. In 1984, George Orwell coined the term thoughtcrime. In the short story “The Minority Report,” the science-fiction author Philip K. Dick gave us the concept of “precrime,” describing a society where would-be criminals were arrested before they could act. Now Canada is combining the concepts in a work of dystopian nonfiction: A bill making its way through Parliament would impose draconian criminal penalties on hate speech and curtail people’s liberty in order to stop future crimes they haven’t yet committed. The Online Harms Act states that any person who advocates for or promotes genocide is “liable to imprisonment for life.” It defines lesser “hate crimes” as including online speech that is “likely to foment detestation or vilification” on the basis of race, religion, gender, or other protected categories. And if someone “fears” they may become a victim of a hate crime, they can go before a judge, who may summon the preemptively accused for a sort of precrime trial. If the judge finds “reasonable grounds” for the fear, the defendant must enter into “a recognizance.”

A recognizance is no mere promise to refrain from committing hate crimes. The judge may put the defendant under house arrest or electronic surveillance and order them to abstain from alcohol and drugs. Refusal to “enter the recognizance” for one year results in 12 months in prison. This is madness.",gpt-4o-mini,dt03
politics_9.json,https://www.theatlantic.com/ideas/archive/2024/05/harvard-just-promised-stay-quiet-good-them/678538/?utm_source=feed,"Harvard’s Golden Silence All sorts of events tempt a university to make a public statement of support or condemnation: a terrorist attack on New York City and Washington, D.C. A mass shooting at a nearby elementary school. Faculty and student enthusiasm for protest movements such as Occupy Wall Street and Black Lives Matter. A social reckoning like #MeToo. Thugs storming the U.S. Capitol on January 6, 2021. In the moment, the benefits of making a statement feel as though they outweigh the costs. But the costs are real and cumulative, as Harvard has learned in the seven months since Hamas’s October 7 attack on Israel. Alumni and students on both sides of the Gaza conflict have called on the school to condemn the atrocities of their enemies, or sympathize with their pain, or affirm their political positions, values, sentiments, or sense of morality. It could not please everyone, and its president, Claudine Gay, had to step down under pressure. In a report released on Tuesday, Harvard has come to the wise conclusion that the institution should stop issuing “official statements about public matters that do not directly affect the university’s core function.”

Robert P. George: Universities should not be ideological churches

It will be interesting to see whether Harvard’s leaders can heed that advice and resist making statements through Election Day. Until then, other institutions would be wise to follow Harvard’s example and adopt their own policy of institutional neutrality. Universities have never possessed moral clarity. Knowledge creation requires rewarding dissent and epistemic modesty, qualities that are incompatible with institutional solidarity or real-time judgments about who is on “the right side of history.”

Institutional neutrality is most closely associated with the University of Chicago, where the Kalven report was adopted in 1967.",gpt-4o-mini,dt03
politics_10.json,https://www.theatlantic.com/ideas/archive/2024/05/seinfeld-duke-speech-gaza-protest-media-coverage/678376/?utm_source=feed,"Jerry Seinfeld’s Speech Was the Real News Why did the media focus less on his words and more on the 30 protesters who didn’t hear them? On Sunday at Duke University, the comedian Jerry Seinfeld delivered a commencement address that was, bizarrely, overshadowed in the media by a tiny, nondisruptive protest. Seinfeld gave a compliment and a warning to his Gen Z audience. First came the compliment. “I totally admire the ambitions of your generation to create a more just and inclusive society,” he said. “I think it is also wonderful that you care so much about not hurting other people’s feelings in the million and one ways we all do that.”

Then came the warning. “What I need to tell you as a comedian: Do not lose your sense of humor. You can have no idea at this point in your life how much you are going to need it to get through. Not enough of life makes sense for you to be able to survive it without humor.”

Seinfeld went on to defend “the slightly uncomfortable feeling of awkward humor,” arguing that it is “not something you need to fix,” because even as Gen Z improves the world, it will remain “a pretty insane mess.” Humor, he said, is “the most survival-essential quality you will ever have or need to navigate through the human experience.”

Tyler Austin Harper: America’s colleges are reaping what they sowed

All of that is newsworthy. Seinfeld is a perceptive observer of life and an undeniable expert on comedy. Plus, as he told the graduates, “I am 70.",gpt-4o-mini,dt03
politics_11.json,https://www.theatlantic.com/ideas/archive/2024/05/wrong-way-fight-anti-semitism-campus-free-speech/678358/?utm_source=feed,"The Wrong Way to Fight Anti-Semitism on Campus The House of Representatives passed the Antisemitism Awareness Act last week in a bipartisan vote of 320 to 91. “Antisemitism is on the rise,” it declares, and is “impacting Jewish students.”

Bigotry against Jews is vile and warrants the nation’s attention. As President Joe Biden said Tuesday at the Holocaust Memorial Museum, “This hatred continues to lie deep in the hearts of too many people in the world and requires our continued vigilance.” But the Antisemitism Awareness Act is the wrong way to fight those ills. If passed by the Senate and signed into law, it would codify a controversial definition of anti-Semitism (among its 11 specific examples of anti-Semitic rhetoric: “The existence of a State of Israel is a racist endeavor”). And it would direct the Department of Education to consider that definition when judging complaints against colleges under Title VI of the 1964 Civil Rights Act, which says that no person, on the grounds of race, color, or national origin, can be “excluded from participation” in a program, denied its benefits, or “be subjected to discrimination.”

Interpreting Title VI has always been difficult and contested, particularly when speech that is protected by the First Amendment is alleged to be discriminatory as well. The act should be rejected by the Senate. Its definition of anti-Semitism is too expansive to serve as a unifying standard in academia, and it doubles down on an approach to antidiscrimination that chills free speech while failing to reduce hate. Conor Friedersdorf: How October 7 changed America’s free-speech culture

Title VI wasn’t originally intended to apply to Jewish students.",gpt-4o-mini,dt03
