doc_id,source,document,LLM_q,doc_prompt
science_1.json,https://www.bbc.com/future/article/20240920-our-plan-worked-how-vienna-prepared-itself-for-a-5000-year-flood?ocid=global_future_rss,"'Our plan worked': How Vienna prepared itself for a 5,000-year flood 'Our plan worked': How Vienna prepared itself for a 5,000-year flood

Getty Images Vienna escaped Storm Boris relatively unscathed due to its flood defences (Credit: Getty Images)

Storm Boris is the latest deluge in one of the most flood-plagued periods in Europe in the past 500 years, but one city escaped relatively unscathed. The steps Vienna took to prepare for extreme rainfall may hold lessons for how other cities can face deluges to come. And yet, considering the onslaught of water, ""we got away quite lightly"", noted a Viennese journalist, referring to reports of an estimated ten lightly injured people, and 15 evacuated houses in the city. ""On the whole, the [city's] ingenious flood management system resisted the masses of water,"" concluded another local journalist. In fact, evidence from previous big floods suggests that a number of protective strategies used by Vienna, and Austria more generally, are proving effective – and offering vital lessons to others battling increasingly extreme weather. ""Austria has really invested in flood management over the past decades, not least because we had two big floods, in 2002 and 2013,"" says Günter Blöschl, a hydrologist and director of the Centre for Water Resource Systems of the Vienna University of Technology, who has helped shape Austria's flood risk management strategy. In Vienna, a flood defence system developed decades ago has played a crucial role in protecting the city, Blöschl explains. ""Vienna's flood defence system is designed to cope with a flood discharge of 14,000 cubic metres per second – that's equivalent to a 5,000-year flood,"" he says.",gpt-4o-mini,dt03
science_2.json,https://www.bbc.com/future/article/20240919-why-chocolate-might-not-be-behind-your-acne?ocid=global_future_rss,"Why chocolate might not be behind your acne Why chocolate might not be behind your acne

Getty Images

Chocolate has long been considered a possible cause of acne, alongside other sweet treats. But it appears that bad reputation may be undeserved. Chocolate has long had a reputation for causing spots. Is there any truth to it? Or is it just something parents tell their kids to avoid shelling out on sweet treats at the supermarket? In the 1960s, several studies analysed the relationship between chocolate and acne. The biggest study – which only recruited 65 participants – found no relationship between the two. But this study has since been criticised for having numerous design flaws. While chocolate may be off the hook, more recent studies suggest that there could, in fact, be many connections between diet and acne – particularly the Western diet, which is high in saturated fat, sugar and dairy. Acne is a common skin condition where hair follicles in the skin become blocked by oil and dead skin cells, which causes spots to form. Severe or persistent acne from adolescence and adulthood is mostly caused by genetics, says Beibei Du-Harpur, dermatologist and clinical lecturer at Kings College London. This is because our genes determine the size of our skin's sebaceous glands, which produce oil. Getty Images Severe acne in adolescents is much more likely to be the result of genetics than diet, experts suggest (Credit: Getty Images)

Cases of adult acne have been on the rise in recent years, especially in women, but there's no one single reason for this, says Du-Harpur. But, she adds, certain environmental factors in our daily lives that could be playing a role.",gpt-4o-mini,dt03
science_3.json,https://www.bbc.com/future/article/20240918-how-restoring-rivers-natural-curves-can-prevent-flooding?ocid=global_future_rss,"How restoring rivers' natural curves can prevent flooding How restoring rivers' natural curves can prevent flooding

Alamy

For centuries meandering rivers have been straightened – but experts say restoring their natural bends and curves can prevent flooding and create healthy habitats for wildlife. Swindale Beck, a stream in Cumbria, in the heart of the UK's Lake District, meanders through fields, farmland and valleys. However, not long ago, the river took a far more linear course. A healthy river should be sinuous, free flowing and replete with wildlife. In Britain, however, 97% of rivers are fragmented by artificial barriers like weirs. Now, there is at least one artificial barrier for every 1.5km of stream in the country. And for centuries rivers have been slowly canalised – or artificially straightened – to stop water from flooding and spilling onto farmland and houses. But removing a river's natural meanders has, in fact, achieved the opposite effect. Instead, it's disrupted the flow of rivers and degraded aquatic habitats, water quality and heightened flood risk. As the poor health of Europe's rivers and streams continues to make news – due to dwindling wildlife, sewage pollution and agricultural runoff – communities are turning towards natural solutions to restore their rivers. RSPB It took a team of diggers three months to put Swindale Beck's wiggles back where they should be (Credit: RSPB)

Some rivers are being restored with natural flood management techniques (NFM), such as leaky woody dams, tree planting and beaver pens. One idea is to add wiggles back into rivers, streams and tributaries. Across the world, from the Netherlands, the US and the UK, rivers are slowly being re-wiggled, to return them to their natural course.",gpt-4o-mini,dt03
science_4.json,https://www.bbc.com/future/article/20240918-influence-the-unseen-key-behind-powerful-persuasion?ocid=global_future_rss,"Influence: The unseen key behind powerful persuasion Influence: The unseen key behind powerful persuasion

Getty Images

Forty years ago, Bob Cialdini published a groundbreaking book on the power of influence. In our digital age, these rules may have become even more powerful. One day Robert Cialdini was in his university dorm, when he answered the door to another resident who was selling subscriptions to Sports Illustrated magazine. ""I was a starving student; I didn't have a lot of discretionary income,"" Cialdini recalls. ""So I wasn't going to buy his magazine."" The guy was persistent, however. He told Cialdini that he would be missing out on a unique sale that would only last for that weekend. He emphasised the fact that the top pundits rated the magazine very highly. And he casually mentioned that he'd already sold a lot of subscriptions to the other dormmates. Cialdini soon gave in. When the man had left, he leant back against the door and took stock of what had just happened. ""I thought, 'You spent your money, and it wasn't because of the merits of the thing – it was the way he presented it,'"" Cialdini recalls. ""And I thought, 'Isn't that interesting? Isn't that worth studying?'"" Cialdini's curiosity would lead him to write Influence: The Psychology of Persuasion, published in 1984. Melding academic research on behavioural science with apposite case studies and personal experience, it arguably created the mould for ""smart thinking"" authors such as Charles Duhigg, Adam Grant or James Clear. After numerous updated editions, his book has now sold more than seven million copies, according to his publishers.",gpt-4o-mini,dt03
science_5.json,https://www.bbc.com/future/article/20240917-titan-arum-the-huge-smelly-corpse-plant-that-takes-a-decade-to-flower?ocid=global_future_rss,"'It smells like a food bin that's overflowing': The weird biology of the giant smelly 'corpse plant' 'It smells like a food bin that's overflowing': The weird biology of the giant smelly 'corpse plant'

RBGE

It takes a decade to flower, smells like death and draws huge crowds when it blooms. But scientists are still unravelling the baffling lifecycle of the titan arum. I'm in a row of people shuffling along a winding path inside a warm, musty-aired glasshouse. We edge past collections of carnivorous plants and below overhanging rhododendrons, but we're all here to see one thing: a titan arum is in flower. This huge, smelly, otherworldly plant has been capturing people's imaginations and inspiring awe for centuries. It's only since the 1990s that researchers have begun to look at its odd anatomy more in detail, however. I've never seen one before. I turn a corner and spot it there in the next glasshouse: a long, light-yellow spike protruding several metres up from what looks like an enormous, thick crinkly green petal with a pink-purple tip. I brace myself for the infamous smell to hit me – the source of one of its many names, the ""corpse plant"". Different people have different perceptions of the stench, like rotting fish, very smelly socks. To me, it smells like a food bin that's overflowing – Paulina Maciejewska-Daruk

I'm at the Royal Botanic Gardens Edinburgh (RBGE) and, for a few days at least, this titan arum is the star attraction. The 22-year-old plant, nicknamed ""New Reekie"" in a nod to an old name for the Scottish capital (Auld Reekie), has been flowering for two days.",gpt-4o-mini,dt03
science_6.json,https://www.bbc.com/future/article/20240626-can-a-law-make-social-media-less-addictive?ocid=global_future_rss,"Politicians say they can make social media less ‘addictive’. Experts aren’t so sure Politicians say they can make social media less ‘addictive’. Experts aren’t so sure

Getty Images (Credit: Getty Images)

New York just passed a law on ""addictive"" social media feeds for children, but some researchers are questioning what that actually means. New York Governor Kathy Hochul was clear about her opinion of social media earlier this month, speaking at a press conference to announce the signing of two new state laws designed to protect under-18-year-olds from the dangers the online world. The apps are responsible for transforming ""happy-go-lucky kids into teenagers who are depressed"", she said, but according to Hochul, the legislation she signed off on would help. ""Today, we save our children,"" Hochul said. ""Young people across the nation are facing a mental health crisis fuelled by addictive social media feeds."" Starting in 2025, these new laws could force apps including TikTok and Instagram to send some children back to the earliest days of social media, before content was tailored by users' ""likes"" and tech giants collected data about our interests, moods, habits and more. The Stop Addictive Feeds Exploitation (SAFE) for Kids Act requires social media platforms and app stores seek parental consent before children under 18 use apps with ""addictive feeds"", a groundbreaking attempt to regulate algorithmic recommendations. The SAFE Act will even prevent apps from sending notifications to child or teenage users between midnight and 6am – practically a legal bedtime for devices – and require better age verification to avoid children slipping through undetected. The second law, the New York Child Data Protection Act, limits the information app providers collect about their users.",gpt-4o-mini,dt03
science_7.json,https://www.bbc.com/future/article/20240916-what-is-the-dirty-side-of-a-hurricane?ocid=global_future_rss,"Why the 'dirty side' of a hurricane can be 50% stronger than its 'clean side' Why the 'dirty side' of a hurricane can be 50% stronger than its 'clean side'

Nasa Earth Observatory/ Wanmei Liang

In tropical storms, location matters when it comes to what damage to expect – especially if you're on the ""dirty"" side of a hurricane, where winds can be up to 50% stronger. Hurricanes can be difficult to forecast. The speed and path of a hurricane depend on a complex interaction between the storm and its own internal circulations, and the Earth's atmosphere. High- and low-pressure systems can alter the speed and path of a hurricane, while the air which the hurricane is embedded in and travelling through is constantly moving and changing. They typically move at a speed of 15 to 20mph (24 to 32km/h), but some linger – causing devastatingly heavy rain and flooding. They can speed up – reaching 60mph (97km/h) and travel in a straight line, or they can wobble and loop. 2024 HURRICANE SEASON As Hurricane Francine slammed the southern US with strong winds and heavy rainfall, communities in Louisiana were hit by flooding, while in Alabama and Mississippi, thousands have been left without electricity. Hurricanes are becoming increasingly unpredictable – and dangerous, due to climate change. The Federal Emergency Management Agency (Fema) has urged the public to prepare, warning that the National Oceanic and Atmospheric Administration's (Noaa's) hurricane prediction for 2024 was ""the most aggressive forecast on record"". Hurricanes also have a right and a left side – in the northern hemisphere, known as a ""dirty"" and ""clean"" side respectively.",gpt-4o-mini,dt03
science_8.json,https://www.bbc.com/future/article/20240712-modern-hurricanes-are-rewriting-the-rules-of-extreme-storms?ocid=global_future_rss,"How climate change is rewriting the rules of extreme storms How climate change is rewriting the rules of extreme storms

Nasa/Matthew Dominick Hurricane Beryl was the first category five storm to form in June at the start of the Atlantic hurricane season (Credit: Nasa/Matthew Dominick)

The behaviour of the world's most powerful storms is evolving. To adapt to more destructive hurricanes, typhoons and tropical cyclones, we need to know how they're changing. Fuelled by heat from ocean waters, hurricanes, typhoons and tropical cyclones are sometimes known as nature's steam engines. As they barrel over the oceans, they turn its heat into brutal kinetic energy that flattens islands and inundates coastal cities, taking months of urgent repair work to heal. Ocean temperatures are now breaking all records, and these ""engines"" are responding accordingly, cutting different paths across the ocean, slowing down, and becoming less predictable and more dangerous. Now there's a race to understand exactly how hurricanes are rewriting the rules and patterns we've seen before, in the hope of learning how we can adapt. A longer season

There's a distinct seasonal cycle to hurricanes in the Atlantic, with very few or none at all in winter, and a peak in September. A strong, early start to the hurricane season is in line with what we would expect with climate change, says James Kossin, a climate and atmospheric scientist retired from the US National Oceanic and Atmospheric Administration (Noaa). Typhoon Bebinca On the morning of 16 September, powerful Typhoon Bebinca made landfall near Shanghai, China. The typhoon was the most powerful storm the city has seen in 75 years, according to Chinese state media.",gpt-4o-mini,dt03
science_9.json,https://www.bbc.com/future/article/20240912-the-archivists-battling-to-save-the-internet?ocid=global_future_rss,"We're losing our digital history. Can the Internet Archive save it? We're losing our digital history. Can the Internet Archive save it? Serenity Strull/ Getty Images (Credit: Serenity Strull/ Getty Images)

Research shows 25% of web pages posted between 2013 and 2023 have vanished. A few organisations are racing to save the echoes of the web, but new risks threaten their very existence. It's possible, thanks to surviving fragments of papyrus, mosaics and wax tablets, to learn what Pompeiians ate for breakfast 2,000 years ago. Understand enough Medieval Latin, and you can learn how many livestock were reared at farms in Northumberland in 11th Century England – thanks to the Domesday Book, the oldest document held in the UK National Archives. Through letters and novels, the social lives of the Victorian era – and who they loved and hated – come into view. But historians of the future may struggle to understand fully how we lived our lives in the early 21st Century. That's because of a potentially history-deleting combination of how we live our lives digitally – and a paucity of official efforts to archive the world's information as it's produced these days. However, an informal group of organisations are pushing back against the forces of digital entropy – many of them operated by volunteers with little institutional support. None is more synonymous with the fight to save the web than the Internet Archive, an American non-profit based in San Francisco, started in 1996 as a passion project by internet pioneer Brewster Kahl. The organisation has embarked what may be the most ambitious digital archiving project of all time, gathering 866 billion web pages, 44 million books, 10.6 million videos of films and television programmes and more.",gpt-4o-mini,dt03
science_10.json,https://www.bbc.com/future/article/20240913-the-hidden-kingdom-of-viruses-living-in-your-gut?ocid=global_future_rss,"Meet the microbiome's 'dance partner': The hidden kingdom of viruses living in your gut Meet the microbiome's 'dance partner': The hidden kingdom of viruses living in your gut

Getty Images

Human innards are teeming with viruses that infect bacteria. What are they up to? You've probably heard of the microbiome – the hordes of bacteria and other tiny life forms that live in our guts. Well, it turns out those bacteria have viruses that exist in and around them – with important consequences for both them and us. Meet the phageome. There are billions, perhaps even trillions of these viruses, known as bacteriophages (""bacteria eaters"" in Greek) or just ""phages"" to their friends, inside the human digestive system. Phageome science has skyrocketed recently, says Breck Duerkop, a bacteriologist at the University of Colorado Anschutz School of Medicine, and researchers are struggling to come to grips with their enormous diversity. Researchers suspect that if physicians could harness or target the right phages, they might be able to improve human health. ""There will turn out to be good phages as well as bad phages,"" says Paul Bollyky, an infectious disease physician and researcher at Stanford Medicine. But for now, it's still not clear how many phages occupy the gut – perhaps one for each bacterial cell, or even fewer. There are also bacteria that contain phage genes but aren't actively producing viruses – the bacteria are just living their lives with phage DNA tagging along in their genomes. And there are lots of phages still unidentified. Scientists call these the ""dark matter"" of the phageome. A big part of current phage research is to identify these viruses and their host bacteria.",gpt-4o-mini,dt03
science_11.json,https://www.nature.com/articles/d41586-024-03026-9,"COVID pandemic started in Wuhan market animals after all, suggests latest study Some of the earliest cases of COVID-19 were linked to the Huanan Seafood Wholesale Market in Wuhan, China.Credit: Hector Retamal/AFP Via Getty

The hunt for the origin of the COVID-19 pandemic has new leads. Researchers have identified half a dozen animal species that could have passed SARS-CoV-2, the coronavirus that causes COVID-19, to people, by reanalysing genomes collected from an animal market in Wuhan, China1. The study establishes the presence of animals and the virus at the market, although it does not confirm whether the animals themselves were infected with the virus. Many of the earliest cases of COVID-19 were linked to the city’s Huanan Seafood Wholesale Market, and so it became a focus in the search for the pandemic’s origin. The study, published in Cell today, is the latest in a series of analyses of the market samples. The researchers argue that their reanalysis adds more weight to the market being the site of the first spillover events, in which animals with the virus infected people, sparking the pandemic. This expands on a preliminary analysis on a subset of the China CDC data, which the same team published in March 2023. However, the team’s conclusion differs from the first peer-reviewed analysis of the data, published in Nature2 in April last year, in which a separate team also identified several animals and the virus but concluded the role of the market in the pandemic’s origin was unclear. The search for how the pandemic began has been hugely controversial. Most researchers say the virus originated in bats who infected people, most probably through an intermediate animal, as has happened with other pathogens that have emerged in humans.",gpt-4o-mini,dt03
science_12.json,https://www.nature.com/articles/d41586-024-03062-5,"Bad dog You have full access to this article via your institution. “So, to sum up this meeting. We’re a mistake.” President Chapman frowned. He adjusted his tie, which felt like a leash around his neck, as though it was trying to strangle him. “I’m afraid so. You might say we left the barn door open. A few million years later and, well … here you are.”

President Chapman found it hard to take the alien diplomat seriously. It was pitch black and made of mist. It drifted around one end of the conference room table where a red porcelain bowl of dandelions sat. The aliens had requested dandelions be provided at meetings being held simultaneously with leaders across the world, while their ship remained in high Earth orbit. Now and then, a pseudopod of mist would flow over the bowl and another dandelion would dissolve, followed by a soft sigh of pleasure. “And Earth is a rest stop for your people?”

Dissolve … sigh … “In a seed shell, yes. Life-bearing planets tend to have similar natural processes, and this world is hardly unique. We planted it with zchpkkl’lanthush’amiltonian’uouoieious as a food source for long, interstellar journeys. It makes a fine place to stop off and replenish our food reserves, get out and stretch our pseudopods, so to speak. Starships can be cramped, especially if we’re travelling with our offspring. They do tend to get annoying after a few light years. Anyway, the plant evolved of course, as things do, but these descendants of it are quite delicious.",gpt-4o-mini,dt03
science_13.json,https://www.nature.com/articles/d41586-024-03070-5,"Do AI models produce more original ideas than researchers? The concepts were judged by reviewers and were not told who or what had created them. Researchers built an artificial intelligence tool that came up with 4000 novel research ideas in a matter of hours. Credit: Malte Mueller/Getty

An ideas generator powered by artificial intelligence (AI) came up with more original research ideas than did 50 scientists working independently, according to a preprint posted on arXiv this month1. The human and AI-generated ideas were evaluated by reviewers, who were not told who or what had created each idea. The reviewers scored AI-generated concepts as more exciting than those written by humans, although the AI’s suggestions scored slightly lower on feasibility. But scientists note the study, which has not been peer-reviewed, has limitations. It focused on one area of research and required human participants to come up with ideas on the fly, which probably hindered their ability to produce their best concepts. AI in science

There are burgeoning efforts to explore how LLMs can be used to automate research tasks, including writing papers, generating code and searching literature. But it’s been difficult to assess whether these AI tools can generate fresh research angles at a level similar to that of humans. That’s because evaluating ideas is highly subjective and requires gathering researchers who have the expertise to assess them carefully, says study co-author, Chenglei Si. “The best way for us to contextualise such capabilities is to have a head-to-head comparison,” says Si, a computer scientist at Stanford University in California. The year-long project is one of the biggest efforts to assess whether large language models (LLMs) — the technology underlying tools such as ChatGPT — can produce innovative research ideas, says Tom Hope, a computer scientist at the Allen Institute for AI in Jerusalem.",gpt-4o-mini,dt03
