doc_id,source,document,LLM_q,doc_prompt
travel_1.json,https://www.nps.gov/yell/learn/news/24035-yellowstone-releases-body-worn-camera-footage-from-july-2024-ois.htm,"Yellowstone National Park releases body worn camera footage from July 4, 2024 officer-involved shooting at Canyon Village September 19, 2024 Morgan Warthin , 307-344-2015

As part of the National Park Service’s established protocol regarding officer-involved shootings, Yellowstone National Park has released body worn camera footage from a July 4, 2024, officer-involved shooting at Canyon Village. The community briefing video shows the significant sections of the body worn camera footage from some of the involved law enforcement officers. The video is intended to help community members gain a better understanding of what occurred.



This incident is still under investigation. The investigation, which includes the actions taken by NPS law enforcement officers, is being led by the Federal Bureau of Investigation.



All information in the community briefing video is based on the details currently available. Some images and audio in this video have been altered or concealed to protect the privacy of the individuals involved.



A word of caution: this video of an officer-involved shooting contains graphic content and strong language. Viewer discretion is advised.",gpt-4o-mini,dt03
travel_2.json,https://www.nps.gov/yell/learn/news/240918.htm,"Woman sustains thermal burns in Yellowstone National Park Old Faithful northbound sign NPS / Jacob W. Frank

September 18, 2024

Contact: Linda Veress, (307) 344-2015

On Monday afternoon, Sept. 16, 2024, a 60-year-old woman visiting Yellowstone National Park from Windsor, New Hampshire, reportedly suffered second and third-degree burns to her lower leg while walking in a thermal area near Mallard Lake Trailhead at Old Faithful.

The woman was walking off-trail with her husband and leashed dog in a thermal area when she broke through a thin crust over scalding water and suffered burns to her leg. The husband and dog were not injured.

The woman and her husband went to a park medical clinic where they were evaluated. The patient was later transported via helicopter to Eastern Idaho Regional Medical Center for further treatment.

Visitors are reminded to stay on boardwalks and trails in hydrothermal areas and exercise extreme caution. The ground in these areas is fragile and thin, and there is scalding water just below the surface. Learn more about safety in thermal areas.

Pets are prohibited on boardwalks, hiking trails, in the backcountry and in thermal areas.

This incident is under investigation and the park has no additional information to share.

This is the first known thermal injury in Yellowstone in 2024.

Editor’s note: No photos of this incident are available.",gpt-4o-mini,dt03
travel_3.json,https://www.nps.gov/yell/learn/news/24030.htm,"UPDATE: Partial fishing restrictions lifted on the Firehole River in Yellowstone National Park Fishing along the Gibbon River. NPS / Jacob W. Frank

September 16, 2024

Contact: Morgan Warthin, (307) 344-2015

Update: Partial fishing restrictions lifted on the Firehole River in Yellowstone National Park

All parkwide fishing restrictions due to warm water temperatures and low flows lifted

Date of release: September 16, 2024



MAMMOTH HOT SPRINGS, WY - Effective immediately, the Firehole River in Yellowstone National Park is now open to fly fishing from sunrise to sunset. The park has lifted the partial fishing closure on this river and its associated tributaries due to cooler water temperatures. All fishing restrictions parkwide due to warm water temperatures and low flows have now been lifted. Read the Fishing Regulations 2024 Booklet for more information about fishing in Yellowstone. Update: Madison, Gibbon rivers in Yellowstone National Park now open to fishing

Firehole River opens with partial restrictions

Update: Partial fishing closures on rivers and streams lifted in Yellowstone National Park

Full closures remain in effect on geothermally influenced streams

MAMMOTH HOT SPRINGS, WY - Effective immediately, the Madison and Gibbon rivers in Yellowstone National Park are open to fishing. The park has lifted the fishing closures on these rivers and their associated tributaries due to cooler water temperatures.The Firehole River, being strongly influenced by geothermal features, is now open to fishing with partial restrictions. The river and its associated tributaries will be closed to fishing daily from 2 p.m. to sunrise the following day.Read the Fishing Regulations 2024 Booklet for more information.Staff will continue to monitor the Firehole River and its tributaries, watch weather forecasts and reopen them to fishing when conditions allow. Date of release: August 14, 2024

Lamar River downstream of Cache Creek to its confluence with the Yellowstone River

Soda Butte Creek (the entire creek)

Slough Creek (the entire creek)

Yellowstone River from Tower Junction north to the park boundary

Gardner River downstream of Osprey Falls north to the park boundary

Snake River from Forest Creek south to the park boundary

Madison River and all associated tributaries

Firehole River and all associated tributaries

Gibbon River and all associated tributaries downstream of Norris Campground

Update: Additional fishing closures in Yellowstone National Park due to warm water temperatures and low river flows

MAMMOTH HOT SPRINGS, WY - Effective immediately, the partial fishing closures on select rivers and streams in Yellowstone National Park have been lifted and are now open.",gpt-4o-mini,dt03
travel_4.json,https://www.nps.gov/yell/learn/news/24034.htm,"Yellowstone visitation statistics for August 2024 Bison jam in Hayden Valley during rut NPS / Jacob W. Frank

September 11, 2024

Contact: Morgan Warthin, (307) 344-2015

MAMMOTH HOT SPRINGS, WY – Yellowstone National Park hosted 871,163 recreation visits in August 2024, up 3% from August 2023 (846,389 recreation visits). This August’s visitation showed an 5% decrease from August 2021 (921,844 recreation visits).So far in 2024, the park has hosted 3,497,254 recreation visits, up 6% from 2023 (3,308,924 recreation visits), and down 3% from 2021 (3,590,609 recreation visits).The list below shows the year-to-date trend for recreation visits over the last several years (through August):2024 – 3,497,2542023 – 3,308,9242022 – 2,437,607 (The park was closed June 13 through June 21 due to the historic flood event. Three entrances opened on June 22.)2021 – 3,590,6092020 – 2,556,528 (The park was closed March 24 through May 17 due to COVID. Two entrances opened on May 18 and the remaining three opened on June 1.)2019 – 3,114,697More data on park visitation, including how we calculate these numbers, is available on the NPS Stats website",gpt-4o-mini,dt03
travel_5.json,https://www.nps.gov/yell/learn/news/24033.htm,"Tourism to Yellowstone National Park contributes $828 million to local economy Taking photos at the North Entrance NPS / Neal Herbert

August 28, 2024

Contact: Morgan Warthin, (307) 344-2015

MAMMOTH HOT SPRINGS, WY – A new National Park Service report shows that 4.5 million visitors to Yellowstone National Park in 2023 spent $623 million in communities near the park. That spending supported 8,560 jobs in the local area and had a cumulative benefit to the local economy of $828 million.“I’m so proud that our parks and the stories we tell make a lasting impact on more than 300 million visitors a year,” said. “And I’m just as proud to see those visitors making positive impacts of their own, by supporting local economies and jobs in every state in the country.”The National Park Service report, 2023 National Park Visitor Spending Effects, finds that 325.5 million visitors spent $26.4 billion in communities near national parks. This spending supported 415,400 jobs, provided $19.4 billion in labor income and $55.6 billion in economic output to the U.S. economy. The lodging sector had the highest direct contributions with $9.9 billion in economic output and 89,200 jobs. The restaurants received the next greatest direct contributions with $5.2 billion in economic output and 68,600 jobs.An interactive tool is available to explore visitor spending, jobs, labor income, and total economic contribution by sector for national, state and local economies. Users can also view year-by-year trend data. The interactive tool and report are available on the NPS website Learn more about national parks in Wyoming Montana and Idaho and how the National Park Service works with communities in these states to help preserve local history, conserve the environment and provide outdoor recreation.",gpt-4o-mini,dt03
travel_6.json,https://www.nps.gov/yell/learn/news/24032.htm,"Yellowstone visitation statistics for July 2024 Tribal games junior ranger program: Artists Joseph and Rachel Pichardo demonstrate pebble in hand NPS / Jacob W. Frank

August 7, 2024

Contact: Morgan Warthin, (307) 344-2015

MAMMOTH HOT SPRINGS, WY – Yellowstone National Park hosted 992,352 recreation visits in July 2024, up 2% from July 2023 (969,692 recreation visits). This July’s visitation showed an 8% decrease from July 2021 (1,080,767 recreation visits).So far in 2024, the park has hosted 2,626,091 recreation visits, up 7% from 2023 (2,462,535 recreation visits), and down 2% from 2021 (2,668,765 recreation visits).The list below shows the year-to-date trend for recreation visits over the last several years (through July):2024 – 2,626,0912023 – 2,462,5352022 – 1,855,396 (The park was closed June 13 through June 21 due to the historic flood event. Three entrances opened on June 22.)2021 – 2,668,7652020 – 1,674,699 (The park was closed March 24 through May 17 due to COVID. Two entrances opened on May 18 and the remaining three opened on June 1.)2019 – 2,294,691Summer is Yellowstone’s busiest season and millions of people visit the park in June, July and August. If you plan to travel to Yellowstone this summer, plan ahead . Protect yourself and the park by taking the Yellowstone Pledge More data on park visitation, including how we calculate these numbers, is available on the NPS Stats website",gpt-4o-mini,dt03
travel_7.json,https://www.nps.gov/yell/learn/news/240723.htm,"Update on the July 23 Biscuit Basin hydrothermal explosion Biscuit Basin hydrothermal explosion: Boardwalk condition post-explosion. NPS / Jacob W. Frank

July 24, 2024

Contact: Morgan Warthin (Yellowstone National Park), 307-344-2015

Contact: Mike Poland (USGS)

Update on the July 23 Biscuit Basin hydrothermal explosion

Date of release: July 24, 2024



USGS Volcano Notice - DOI-USGS-YVO-2024-07-24T21:27:48+00:00



YELLOWSTONE (VNUM #325010)

44°25'48"" N 110°40'12"" W, Summit Elevation 9203 ft (2805 m)

Current Volcano Alert Level: NORMAL

Current Aviation Color Code: GREEN



This is an update on the hydrothermal explosion that occurred just before 10 AM on Tuesday, July 23, in Biscuit Basin, Yellowstone National Park. National Park Service (NPS) field crews have completed a preliminary assessment of the conditions following the hydrothermal explosion at Black Diamond Pool. For a map showing the locations of the features in that area, see https://www.usgs.gov/media/images/map-major-features-biscuit-basin-yellowstone-national-park. What happened? The July 23, 2024, hydrothermal explosion at Biscuit Basin resulted from water suddenly transitioning to steam in the shallow hydrothermal system beneath Black Diamond Pool and was not caused by volcanic activity. Seismicity, ground deformation, and gas and thermal emissions remain at their normal background levels, and there were no detectable precursors to this event. The explosion, which sent steam and debris to a height of hundreds of feet above the ground, destroyed a nearby boardwalk and ejected grapefruit-sized rocks tens to hundreds of feet from the source. Some blocks closest to the explosion site are about 3 feet (1 meter) wide and weigh hundreds of pounds. The explosion was largely directed to the northeast toward the Firehole River, and the largest blocks of debris fell in that direction.",gpt-4o-mini,dt03
travel_8.json,https://www.nps.gov/yell/learn/news/24031.htm,"National Park Service announces decision on future management of bison at Yellowstone National Park Bison grazing in Round Prairie near Pebble Creek Campground NPS / Jacob W. Frank

July 24, 2024

Contact: Morgan Warthin, (307) 344-2015

Bison will be managed within a population range of about 3,500 and 6,000 after calving and average about 5,000, consistent with the 10-year average. The NPS will work with IBMP partners to control bison population numbers using: Bison Conservation Transfer Program (BCTP) to restore bison to Tribal lands. Tribal Food Transfer Program* (TFTP) to provide meat and hides to Tribes. Tribal and state harvests outside the park. The NPS will prioritize the BCTP and place bison in the BCTP when bison migrate to the park boundary and there is space in the facility. The NPS will establish a population assurance threshold of 5,200 bison. This action was not in the original IBMP. When the population reaches this threshold, the NPS will begin to manage for a declining bison population by relying primarily on Tribal and state harvests. If harvests do not reduce numbers, the NPS will remove additional bison through the TFTP. When the population is below 5,200, the NPS will only place bison in the BCTP and use the TFTP to remove brucellosis-positive bison that are identified when animals are selected for the BCTP. If the late-winter population nears 3,000 animals, the NPS will protect the population inside the park and encourage partners to reduce hunting outside the park. MAMMOTH HOT SPRINGS, WY – Today, July 24, the National Park Service (NPS) announced a decision about the future management of bison at Yellowstone National Park. The Record of Decision , a culmination of an Environmental Impact Statement (EIS) and National Environmental Policy Act process that began in 2022, will allow the NPS to manage bison based on new scientific information and circumstances that have changed since the previous EIS, completed in 2000.The NPS is implementing this decision because of new scientific information about bison and brucellosis transmission and changed circumstances that include fewer cattle near the park, brucellosis regulations, and Tribal hunting.",gpt-4o-mini,dt03
travel_9.json,https://www.nps.gov/yell/learn/news/24029.htm,"Yellowstone announces lottery for 2024-2025 Non-Commercially Guided Snowmobile Access Program Snowmobilers along Yellowstone Lake NPS / Jacob W. Frank

July 22, 2024

Contact: Morgan Warthin, (307) 344-2015

MAMMOTH HOT SPRINGS, WY – Beginning Thursday, Aug. 1, people may apply to the 2024-2025 winter lottery for permits to snowmobile in Yellowstone National Park without a commercial guide. Authorized in 2013, the Non-Commercially Guided Snowmobile Access Program allows permit-holders to enter the park for up to three days with a group of up to five snowmobilers.This year’s lottery will be open on www.recreation.gov from Aug. 1-31, 2024. Successful applicants will be notified in early September. Unclaimed or canceled permits will be made available via www.recreation.gov on a first-come, first-served basis beginning on Oct. 1, 2024. There is no waiting list. Cancellations may occur throughout the winter season, so check the website often for openings. Trips can be for a maximum of three days in length and permits cost $40 per day with a $6 application fee.Permit holders are considered non-commercial guides and must be at least 18 years old on the first day of their trip. All snowmobile operators must possess a state-issued driver’s license and successfully complete the free online Yellowstone Snowmobile Education Certification program . Anyone can take the course to learn about park rules that help visitors safely enjoy the unique experience of winter in Yellowstone while also protecting park resources. All snowmobiles must meet the park’s New Best Available Technology standard.To learn more about planning a winter trip to Yellowstone, visit Explore in Winter",gpt-4o-mini,dt03
travel_10.json,https://www.nps.gov/yell/learn/news/24028.htm,"Yellowstone visitation statistics for June 2024 Holiday crowds at Old Faithful eruption NPS / Jacob W. Frank

July 16, 2024

Contact: Morgan Warthin, (307) 344-2015

MAMMOTH HOT SPRINGS, WY – The park hosted 914,612 recreation visits in June 2024, up 8% from June 2023 (847,864 recreation visits). This June’s visitation showed a 3% decrease from June 2021 (938,845 recreation visits).So far in 2024, the park has hosted 1,633,739 recreation visits, up 9% from 2023 (1,492,843 recreation visits), and up 3% from 2021 (1,587,998 recreation visits).The list below shows the year-to-date trend for recreation visits over the last several years (through June):2024 – 1,633,7392023 – 1,492,8432022 – 1,258,834 (The park was closed June 13 through June 21 due to the historic flood event . Three entrances opened on June 22.)2021 – 1,587,9982020 – 719,054 (The park was closed March 24 through May 17 due to COVID. Two entrances opened on May 18 and the remaining three opened on June 1.)2019 – 1,358,629Summer is Yellowstone’s busiest season and millions of people visit the park in June, July and August. If you plan to travel to Yellowstone this summer, plan ahead . Protect yourself and the park by taking the Yellowstone Pledge More data on park visitation, including how we calculate these numbers, is available on the NPS Stats website",gpt-4o-mini,dt03
